SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,September-2-2016,Townhouse,40 Brattle St #1,Arlington,MA,02476,679000,3,2.5,Arlington,1945,,2007,489,349,375,Sold,,,http://www.redfin.com/MA/Arlington/40-Brattle-St-02476/unit-1/home/21618089,MLS PIN,72041586,N,Y,42.421961,-71.169112
PAST SALE,July-31-2014,Single Family Residential,71 Brattle St,Arlington,MA,02474,519900,4,1.5,Arlington,1495,7180,1900,1253,348,,Sold,,,http://www.redfin.com/MA/Arlington/71-Brattle-St-02474/home/8427846,MLS PIN,71693689,N,Y,42.4224278,-71.1659771
PAST SALE,November-3-2015,Single Family Residential,135 Woodside Ln,Arlington,MA,02474,781000,4,2.0,Arlington,2352,10500,1965,793,332,,Sold,,,http://www.redfin.com/MA/Arlington/135-Woodside-Ln-02474/home/8432755,MLS PIN,71902134,N,Y,42.4264654,-71.1618398
PAST SALE,June-9-2017,Condo/Co-op,142 Lake St #1,Arlington,MA,02474,469000,2,1.0,Arlington,962,5450,1939,209,488,120,Sold,,,http://www.redfin.com/MA/Arlington/142-Lake-St-02474/unit-1/home/77509707,MLS PIN,72137347,N,Y,42.4032835,-71.151372
PAST SALE,December-31-2015,Condo/Co-op,21 Dartmouth St #21,Arlington,MA,02474,429900,3,1.0,Arlington,1141,,1923,735,377,150,Sold,,,http://www.redfin.com/MA/Arlington/21-Dartmouth-St-02474/unit-21/home/77497533,MLS PIN,71927789,N,Y,42.4139544,-71.1410374
PAST SALE,September-26-2014,Condo/Co-op,1261 Massachusetts Ave #2,Arlington,MA,02476,408500,3,2.0,Arlington Heights,1189,,1920,1196,344,206,Sold,,,http://www.redfin.com/MA/Arlington/1261-Massachusetts-Ave-02476/unit-2/home/8469177,MLS PIN,71725273,N,Y,42.4243606,-71.1793665
PAST SALE,November-15-2017,Condo/Co-op,72 Marathon St #72,Arlington,MA,02474,620000,2,2.0,Arlington,1044,,1915,50,594,150,Sold,,,http://www.redfin.com/MA/Arlington/72-Marathon-St-02474/unit-72/home/77510440,MLS PIN,72234863,N,Y,42.4075915,-71.1378829
PAST SALE,June-7-2016,Single Family Residential,5 Roanoke Rd,Arlington,MA,02474,771000,2,1.5,Kelwyn Manor,1738,6214,1940,576,444,,Sold,,,http://www.redfin.com/MA/Arlington/5-Roanoke-Rd-02474/home/8405718,MLS PIN,71983810,N,Y,42.4042653,-71.1553858
PAST SALE,January-22-2015,Single Family Residential,97 Sunset Rd,Arlington,MA,02474,520000,3,2.0,Arlington,1519,4008,1933,1078,342,,Sold,,,http://www.redfin.com/MA/Arlington/97-Sunset-Rd-02474/home/8428760,MLS PIN,71757770,N,Y,42.4287643,-71.1762648
PAST SALE,August-30-2013,Condo/Co-op,9 Albermarle St #9,Arlington,MA,02476,590000,4,2.0,Arlington,1908,,1909,1588,309,189,Sold,,,http://www.redfin.com/MA/Arlington/9-Albermarle-St-02476/unit-9/home/77508142,MLS PIN,71553833,N,Y,42.418091,-71.170029
PAST SALE,June-22-2017,Single Family Residential,55 Bay State Rd,Arlington,MA,02474,1080000,4,3.0,Kelwyn Manor,2553,6114,1941,196,423,6,Sold,,,http://www.redfin.com/MA/Arlington/55-Bay-State-Rd-02474/home/11535988,MLS PIN,72147420,N,Y,42.4051253,-71.1548816
PAST SALE,April-22-2016,Single Family Residential,19 Lansdowne Rd,Arlington,MA,02474,491000,2,1.5,Arlington,1435,5382,1945,622,342,,Sold,,,http://www.redfin.com/MA/Arlington/19-Lansdowne-Rd-02474/home/8431572,MLS PIN,71948405,N,Y,42.4251253,-71.164123
PAST SALE,July-31-2015,Single Family Residential,39 Sunnyside Ave,Arlington,MA,02474,440000,2,1.0,Arlington,932,2427,1947,888,472,,Sold,,,http://www.redfin.com/MA/Arlington/39-Sunnyside-Ave-02474/home/8410904,MLS PIN,71845285,N,Y,42.4087688,-71.1332532
PAST SALE,July-6-2017,Townhouse,70 EGERTON Rd #70,Arlington,MA,02474,940000,3,2.5,East Arlington,2527,5486,2014,182,372,175,Sold,,,http://www.redfin.com/MA/Arlington/70-Egerton-Rd-02474/unit-70/home/56957872,MLS PIN,72173960,N,Y,42.4032537,-71.1438337
PAST SALE,August-5-2016,Condo/Co-op,47 Magnolia St #47,Arlington,MA,02474,500000,2,1.0,Arlington,943,,1914,517,530,128,Sold,,,http://www.redfin.com/MA/Arlington/47-Magnolia-St-02474/unit-47/home/106083365,MLS PIN,72016315,N,Y,42.4019572,-71.1413478
PAST SALE,May-9-2017,Multi-Family (2-4 Unit),23-23A Pine St,Arlington,MA,02474,856500,5,3.0,Arlington,2544,6365,1926,240,337,,Sold,,,http://www.redfin.com/MA/Arlington/23-Pine-St-02474/unit-A/home/23459334,MLS PIN,72128475,N,Y,42.4242125,-71.165386
PAST SALE,January-15-2015,Single Family Residential,251 Forest St,Arlington,MA,02474,550000,3,1.5,Arlington,1593,7165,1955,1085,345,,Sold,,,http://www.redfin.com/MA/Arlington/251-Forest-St-02474/home/8440202,MLS PIN,71768507,N,Y,42.4326916,-71.1755837
PAST SALE,May-10-2017,Condo/Co-op,142 Lake St #2,Arlington,MA,02474,720000,3,2.0,Arlington,1843,5450,1939,239,391,180,Sold,,,http://www.redfin.com/MA/Arlington/142-Lake-St-02474/unit-2/home/21618046,MLS PIN,72134038,N,Y,42.4032835,-71.151372
PAST SALE,December-15-2010,Single Family Residential,42 Frost St,Arlington,MA,02474,527500,3,2.0,Arlington,2131,8860,1950,2577,248,,Sold,,,http://www.redfin.com/MA/Arlington/42-Frost-St-02474/home/8435254,MLS PIN,71153888,N,Y,42.4315696,-71.1598486
PAST SALE,January-2-2013,Condo/Co-op,91 N Union St #91,Arlington,MA,02474,560000,4,2.5,Arlington,1850,4791,2004,1828,303,,Sold,,,http://www.redfin.com/MA/Arlington/91-N-Union-St-02474/unit-91/home/77519314,MLS PIN,71457561,N,Y,42.412358,-71.136696
PAST SALE,July-25-2014,Condo/Co-op,26 Trowbridge St #1,Arlington,MA,02474,520000,2,1.0,East Arlington,1514,,1914,1259,343,120,Sold,,,http://www.redfin.com/MA/Arlington/26-Trowbridge-St-02474/unit-1/home/77524146,MLS PIN,71688221,N,Y,42.4052549,-71.1396805
PAST SALE,November-18-2011,Single Family Residential,542 Summer St,Arlington,MA,02474,439000,3,1.0,Arlington,1412,3963,1929,2239,311,,Sold,,,http://www.redfin.com/MA/Arlington/542-Summer-St-02474/home/8439327,MLS PIN,71282042,N,Y,42.4292527,-71.1767748
PAST SALE,October-2-2017,Townhouse,18 Mott St #18,Arlington,MA,02474,975000,3,2.5,Arlington,2846,6030,2014,94,343,150,Sold,,,http://www.redfin.com/MA/Arlington/18-Mott-St-02474/unit-18/home/58859136,MLS PIN,72211926,N,Y,42.4023266,-71.149819
PAST SALE,April-16-2014,Condo/Co-op,22 Cleveland St Unit B,Arlington,MA,02476,671500,3,3.0,Arlington,2077,,1915,1359,323,183,Sold,,,http://www.redfin.com/MA/Arlington/22-Cleveland-St-02474/unit-B/home/14370699,MLS PIN,71635314,N,Y,42.4062476,-71.1405857
PAST SALE,August-5-2016,Condo/Co-op,45 Magnolia St #45,Arlington,MA,02474,685500,3,2.0,Arlington,1651,,1914,517,415,192,Sold,,,http://www.redfin.com/MA/Arlington/45-Magnolia-St-02474/unit-45/home/77508637,MLS PIN,72016311,N,Y,42.4020026,-71.1412678
PAST SALE,,Condo/Co-op,47 Magnolia St,Arlington,MA,02474,500000,2,1.0,,1376,,1914,,363,,,,,http://www.redfin.com/MA/Arlington/47-Magnolia-St-02474/home/8468958,,,N,Y,42.4019572,-71.1413478
PAST SALE,November-17-2017,Condo/Co-op,45 Fairmont St #45,Arlington,MA,02474,614900,3,2.0,East Arlington,1383,,1923,48,445,135,Sold,,,http://www.redfin.com/MA/Arlington/45-Fairmont-St-02474/unit-45/home/77512365,MLS PIN,72237890,N,Y,42.4010146,-71.1400764
PAST SALE,July-11-2016,Single Family Residential,1 Roanoke Rd,Arlington,MA,02474,855000,4,2.5,Kelwyn Manor,2481,5854,1939,542,345,,Sold,,,http://www.redfin.com/MA/Arlington/1-Roanoke-Rd-02474/home/8405798,MLS PIN,71994874,N,Y,42.4042286,-71.1550807
PAST SALE,October-30-2017,Single Family Residential,61 Henderson St,Arlington,MA,02474,780000,3,1.5,East Arlington,1200,4349,1900,66,650,,Sold,,,http://www.redfin.com/MA/Arlington/61-Henderson-St-02474/home/8407731,MLS PIN,72223648,N,Y,42.4037672,-71.1355058
PAST SALE,September-22-2016,Townhouse,15 Walnut Ct #15,Arlington,MA,02476,540000,2,2.5,Arlington,1417,,1987,469,381,65,Sold,,,http://www.redfin.com/MA/Arlington/15-Walnut-Ct-02476/unit-15/home/77522061,MLS PIN,72044236,N,Y,42.418385,-71.1691666
PAST SALE,December-10-2014,Condo/Co-op,114 Webster St #114,Arlington,MA,02474,559000,4,2.0,Arlington,2374,5662,1923,1121,235,250,Sold,,,http://www.redfin.com/MA/Arlington/114-Webster-St-02474/unit-114/home/77516357,MLS PIN,71744899,N,Y,42.417376,-71.1437688
PAST SALE,January-30-2014,Condo/Co-op,47 Alton St #47,Arlington,MA,02474,471600,4,1.0,Arlington,1772,,1927,1435,266,165,Sold,,,http://www.redfin.com/MA/Arlington/47-Alton-St-02474/unit-47/home/77508584,MLS PIN,71615287,N,Y,42.4154596,-71.1480089
PAST SALE,December-15-2014,Condo/Co-op,59 Randolph St #59,Arlington,MA,02476,545000,4,2.0,Arlington,1859,,1920,1116,293,,Sold,,,http://www.redfin.com/MA/Arlington/57-59-Randolph-St-02474/unit-59/home/77525347,MLS PIN,71748416,N,Y,42.406721,-71.145938
PAST SALE,January-8-2016,Single Family Residential,48 Eliot Rd,Arlington,MA,02474,700000,2,1.5,Kelwyn Manor,2116,6650,1939,727,331,,Sold,,,http://www.redfin.com/MA/Arlington/48-Eliot-Rd-02474/home/8405519,MLS PIN,71922598,N,Y,42.4043867,-71.151854
PAST SALE,January-7-2016,Condo/Co-op,90 Everett St #1,Arlington,MA,02474,441000,2,1.0,East Arlington,1025,,1915,728,430,176,Sold,,,http://www.redfin.com/MA/Arlington/90-Everett-St-02474/unit-1/home/8467987,MLS PIN,71930390,N,Y,42.4098732,-71.1416936
PAST SALE,August-15-2014,Single Family Residential,16 Foxmeadow Ln,Arlington,MA,02474,892400,4,3.0,Morningside,3176,16160,1960,1238,281,,Sold,,,http://www.redfin.com/MA/Arlington/16-Foxmeadow-Ln-02474/home/8436682,MLS PIN,71701036,N,Y,42.4334928,-71.1656306
PAST SALE,June-14-2016,Single Family Residential,587 Summer St,Arlington,MA,02474,535000,2,1.0,Arlington Heights,1245,4418,1926,569,430,,Sold,,,http://www.redfin.com/MA/Arlington/587-Summer-St-02474/home/8438951,MLS PIN,71988278,N,Y,42.4301649,-71.1784005
PAST SALE,November-26-2007,Single Family Residential,2 Branch Ave,Arlington,MA,02474,434000,3,1.5,Arlington,1402,5424,1926,3692,310,,Sold,,,http://www.redfin.com/MA/Arlington/2-Branch-Ave-02474/home/8429223,MLS PIN,70648819,N,Y,42.4279978,-71.1802566
PAST SALE,,Single Family Residential,53 Alpine St,Arlington,MA,02474,150000,3,2.5,,2440,5000,1924,,61,,,,,http://www.redfin.com/MA/Arlington/53-Alpine-St-02474/home/8429212,,,N,Y,42.4282544,-71.1803656
PAST SALE,,Single Family Residential,182 Westminster Ave,Arlington,MA,02474,180000,2,1.5,,1092,2915,1924,,165,,,,,http://www.redfin.com/MA/Arlington/182-Westminster-Ave-02474/home/8430652,,,N,Y,42.430529,-71.186676
PAST SALE,July-14-2011,Single Family Residential,20 Alpine St,Arlington,MA,02474,495000,4,1.0,Arlington,1487,4290,1915,2366,333,,Sold,,,http://www.redfin.com/MA/Arlington/20-Alpine-St-02474/home/8429889,MLS PIN,71242232,N,Y,42.4275007,-71.1814856
PAST SALE,February-29-2012,Single Family Residential,81 Thesda St,Arlington,MA,02474,565000,3,2.0,Arlington,2538,21668,1957,2136,223,,Sold,,,http://www.redfin.com/MA/Arlington/81-Thesda-St-02474/home/8440704,MLS PIN,71318181,N,Y,42.4342017,-71.1797216
