SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,June-24-2015,Condo/Co-op,26 Holden Rd #26,Belmont,MA,02478,471000,2,1.0,Belmont,1172,,1926,925,402,,Sold,,,http://www.redfin.com/MA/Belmont/26-Holden-Rd-02478/unit-26/home/78403150,MLS PIN,71823312,N,Y,42.3873753,-71.1802472
PAST SALE,July-24-2015,Condo/Co-op,101 Beech St #2,Belmont,MA,02478,420000,3,1.0,Waverley,1007,,1911,895,417,196,Sold,,,http://www.redfin.com/MA/Belmont/101-Beech-St-02478/unit-2/home/113245896,MLS PIN,71845466,N,Y,42.3850023,-71.1853316
PAST SALE,December-8-2017,Single Family Residential,263 Common St,Belmont,MA,02478,1225000,5,3.5,Belmont,2582,13410,1942,27,474,,Sold,,,http://www.redfin.com/MA/Belmont/263-Common-St-02478/home/8433555,MLS PIN,72244593,N,Y,42.3874852,-71.1746437
PAST SALE,June-16-2015,Condo/Co-op,15 Marlboro St #2,Belmont,MA,02478,485000,2,1.0,Belmont,1054,,1906,933,460,55,Sold,,,http://www.redfin.com/MA/Belmont/15-Marlboro-St-02478/unit-2/home/79029992,MLS PIN,71828062,N,Y,42.3764461,-71.1569305
PAST SALE,July-23-2015,Condo/Co-op,169 Winsor Ave #169,Watertown,MA,02472,375000,2,1.0,East Watertown,1048,,1920,896,358,150,Sold,,,http://www.redfin.com/MA/Watertown/169-Winsor-Ave-02472/unit-169/home/86348411,MLS PIN,71860446,N,Y,42.3766662,-71.1632712
PAST SALE,September-30-2011,Townhouse,11 Linden Ave #11,Belmont,MA,02478,360000,3,1.0,Belmont,1295,7800,1917,2288,278,125,Sold,,,http://www.redfin.com/MA/Belmont/11-Linden-Ave-02478/unit-11/home/113231475,MLS PIN,71232550,N,Y,42.3807933,-71.1733735
PAST SALE,July-10-2015,Condo/Co-op,15 Marlboro St #1,Belmont,MA,02478,495000,2,1.0,Belmont,1064,,1906,909,465,55,Sold,,,http://www.redfin.com/MA/Belmont/15-Marlboro-St-02478/unit-1/home/81949051,MLS PIN,71846927,N,Y,42.3764461,-71.1569305
PAST SALE,June-16-2015,Condo/Co-op,15 Marlboro St #3,Belmont,MA,02478,439000,2,1.0,Belmont,1001,,1906,933,439,55,Sold,,,http://www.redfin.com/MA/Belmont/15-Marlboro-St-02478/unit-3/home/79029857,MLS PIN,71828050,N,Y,42.3764461,-71.1569305
PAST SALE,January-2-2009,Single Family Residential,20 Village Hill Rd,Belmont,MA,02478,975000,3,3.0,Belmont Hill,2784,11132,1935,3289,350,,Sold,,,http://www.redfin.com/MA/Belmont/20-Village-Hill-Rd-02478/home/8453956,MLS PIN,70754166,N,Y,42.4086825,-71.1820894
PAST SALE,,Single Family Residential,262 Clifton St,Belmont,MA,02478,320000,3,3.5,,2704,13536,1940,,118,,,,,http://www.redfin.com/MA/Belmont/262-Clifton-St-02478/home/8453219,,,N,Y,42.4087428,-71.1748902
PAST SALE,August-20-2009,Single Family Residential,257 Rutledge Rd,Belmont,MA,02478,801000,4,3.5,Residential (Belmont Hill),2541,11269,1948,3059,315,,Sold,,,http://www.redfin.com/MA/Belmont/257-Rutledge-Rd-02478/home/8453562,MLS PIN,70883769,N,Y,42.409259,-71.1807203
PAST SALE,January-10-2008,Single Family Residential,24 Bellington St,Belmont,MA,02478,370000,2,1.5,Belmont Hill,915,4811,1916,3647,404,,Sold,,,http://www.redfin.com/MA/Belmont/24-Bellington-St-02478/home/8453483,MLS PIN,70629562,N,Y,42.4100947,-71.1796022
PAST SALE,,Single Family Residential,29 Bellington St,Belmont,MA,02478,160000,2,1.5,,936,3659,1939,,171,,,,,http://www.redfin.com/MA/Belmont/29-Bellington-St-02478/home/8453533,,,N,Y,42.4099041,-71.1799911
PAST SALE,,Single Family Residential,60 Wellesley Rd,Belmont,MA,02478,529900,3,3.0,,1917,22800,1955,,276,,,,,http://www.redfin.com/MA/Belmont/60-Wellesley-Rd-02478/home/8453912,,,N,Y,42.4080932,-71.1856453
PAST SALE,,Condo/Co-op,88 Common St,Belmont,MA,02478,750000,3,3.0,,2146,,,,349,,,,,http://www.redfin.com/MA/Belmont/88-Common-St-02478/home/8439011,,,N,Y,42.393481,-71.17426
PAST SALE,June-7-2012,Single Family Residential,130 Chilton St,Belmont,MA,02478,875000,4,3.5,Winnbrook,2474,9229,1937,2037,354,,Sold,,,http://www.redfin.com/MA/Belmont/130-Chilton-St-02478/home/11547318,MLS PIN,71358211,N,Y,42.4002412,-71.1698578
PAST SALE,May-27-2011,Single Family Residential,84 Claflin St,Belmont,MA,02478,737000,3,1.5,Belmont,2105,6897,1815,2414,350,,Sold,,,http://www.redfin.com/MA/Belmont/84-Claflin-St-02478/home/11774932,MLS PIN,71204725,N,Y,42.3992924,-71.1725095
