SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,,Single Family Residential,70 Massapoag Rd,Leominster,MA,01453,311623,3,2.5,,1632,25232,2015,,191,,,,,http://www.redfin.com/MA/Leominster/70-Massapoag-Rd-01453/home/108432762,,,N,Y,42.5540298,-71.7267846
PAST SALE,,Single Family Residential,35 Massapoag Rd,Leominster,MA,01453,317500,3,2.5,,2184,22166,2015,,145,,,,,http://www.redfin.com/MA/Leominster/35-Massapoag-Rd-01453/home/108432743,,,N,Y,42.5540298,-71.7267846
PAST SALE,,Single Family Residential,44 Day St,Leominster,MA,01453,100000,2,2.0,,864,11025,1954,,116,,,,,http://www.redfin.com/MA/Leominster/44-Day-St-01453/home/16538819,,,N,Y,42.5512271,-71.7388059
PAST SALE,September-16-2016,Single Family Residential,208 Day St,Leominster,MA,01453,265000,4,2.0,Leominster,2168,39053,1983,462,122,,Sold,,,http://www.redfin.com/MA/Leominster/208-Day-St-01453/home/16537084,MLS PIN,72042458,N,Y,42.5556195,-71.7347106
PAST SALE,,Single Family Residential,59 Stetson St,Leominster,MA,01453,307000,3,2.5,,1568,19129,2016,,196,,,,,http://www.redfin.com/MA/Leominster/59-Stetson-St-01453/home/108432749,,,N,Y,42.561827,-71.73439
PAST SALE,May-31-2012,Single Family Residential,33 Stetson St,Leominster,MA,01453,185000,5,2.0,Leominster,1288,12650,1971,2031,144,,Sold,,,http://www.redfin.com/MA/Leominster/33-Stetson-St-01453/home/16536144,MLS PIN,71334602,N,Y,42.5609063,-71.7333113
PAST SALE,October-23-2012,Townhouse,22 Litchfield Pines Dr #22,Leominster,MA,01453,100000,2,1.5,Leominster,1056,,1985,1886,95,231,Sold,,,http://www.redfin.com/MA/Leominster/22-Litchfield-Pines-Dr-01453/unit-22/home/60359739,MLS PIN,71417701,N,Y,42.5030998,-71.7485761
PAST SALE,,Condo/Co-op,139 Litchfield Pines Dr Apt C,Leominster,MA,01453,146500,2,1.0,,912,,1967,,161,,,,,http://www.redfin.com/MA/Leominster/139-Litchfield-Pines-Dr-01453/unit-C/home/16539657,,,N,Y,42.500419,-71.748786
PAST SALE,,Condo/Co-op,123 Litchfield Pines Dr Apt B,Leominster,MA,01453,450000,1,1.0,,694,,1967,,648,,,,,http://www.redfin.com/MA/Leominster/123-Litchfield-Pines-Dr-01453/unit-B/home/16540332,,,N,Y,42.500419,-71.748786
PAST SALE,,Townhouse,2 Chapman Pl,Leominster,MA,01453,182000,2,1.0,,1057,,1987,,172,,,,,http://www.redfin.com/MA/Leominster/2-Chapman-Pl-01453/home/16540212,,,N,Y,42.505627,-71.751501
PAST SALE,,Townhouse,8 Chapman Pl,Leominster,MA,01453,154000,2,1.5,,1384,,1987,,111,,,,,http://www.redfin.com/MA/Leominster/8-Chapman-Pl-01453/home/16540209,,,N,Y,42.505627,-71.751501
PAST SALE,,Townhouse,16 Chapman Pl,Leominster,MA,01453,155000,2,1.5,,1384,,1987,,112,,,,,http://www.redfin.com/MA/Leominster/16-Chapman-Pl-01453/home/16540205,,,N,Y,42.505627,-71.751501
PAST SALE,,Townhouse,25 Chapman Pl,Leominster,MA,01453,140000,2,1.5,,1384,,1989,,101,,,,,http://www.redfin.com/MA/Leominster/25-Chapman-Pl-01453/home/16540196,,,N,Y,42.505627,-71.751501
PAST SALE,,Townhouse,30 Chapman Pl,Leominster,MA,01453,135000,2,1.5,,1384,,1988,,98,,,,,http://www.redfin.com/MA/Leominster/30-Chapman-Pl-01453/home/16540191,,,N,Y,42.505627,-71.751501
PAST SALE,,Townhouse,44 Chapman Pl,Leominster,MA,01453,139900,2,1.5,,1384,,1988,,101,,,,,http://www.redfin.com/MA/Leominster/44-Chapman-Pl-01453/home/16540177,,,N,Y,42.505627,-71.751501
PAST SALE,,Townhouse,60 Chapman Pl,Leominster,MA,01453,123900,2,1.0,,1057,,1988,,117,,,,,http://www.redfin.com/MA/Leominster/60-Chapman-Pl-01453/home/16540025,,,N,Y,42.505627,-71.751501
PAST SALE,,Townhouse,64 Chapman Pl,Leominster,MA,01453,156000,2,1.5,,1384,,1989,,113,,,,,http://www.redfin.com/MA/Leominster/64-Chapman-Pl-01453/home/16540021,,,N,Y,42.505627,-71.751501
PAST SALE,,Townhouse,73 Chapman Pl,Leominster,MA,01453,165000,2,1.5,,1384,,1993,,119,,,,,http://www.redfin.com/MA/Leominster/73-Chapman-Pl-01453/home/16540012,,,N,Y,42.505627,-71.751501
PAST SALE,,Townhouse,74 Chapman Pl,Leominster,MA,01453,94000,2,1.5,,1384,,1989,,68,,,,,http://www.redfin.com/MA/Leominster/74-Chapman-Pl-01453/home/16540011,,,N,Y,42.505627,-71.751501
PAST SALE,,Townhouse,77 Chapman Pl,Leominster,MA,01453,191500,2,1.5,,1384,,1993,,138,,,,,http://www.redfin.com/MA/Leominster/77-Chapman-Pl-01453/home/16540008,,,N,Y,42.505627,-71.751501
PAST SALE,,Townhouse,80 Chapman Pl,Leominster,MA,01453,112000,2,2.5,,1384,,1987,,81,,,,,http://www.redfin.com/MA/Leominster/80-Chapman-Pl-01453/home/16540005,,,N,Y,42.505627,-71.751501
PAST SALE,,Townhouse,105 Chapman Pl,Leominster,MA,01453,164500,2,1.5,,1384,,1987,,119,,,,,http://www.redfin.com/MA/Leominster/105-Chapman-Pl-01453/home/16539980,,,N,Y,42.505627,-71.751501
PAST SALE,,Townhouse,109 Chapman Pl,Leominster,MA,01453,190100,2,1.5,,1384,,1987,,137,,,,,http://www.redfin.com/MA/Leominster/109-Chapman-Pl-01453/home/16539976,,,N,Y,42.505627,-71.751501
PAST SALE,,Townhouse,117 Chapman Pl,Leominster,MA,01453,165500,2,1.5,,1384,,1987,,120,,,,,http://www.redfin.com/MA/Leominster/117-Chapman-Pl-01453/home/16539968,,,N,Y,42.505627,-71.751501
PAST SALE,,Townhouse,126 Chapman Pl,Leominster,MA,01453,149250,2,1.5,,1368,,1987,,109,,,,,http://www.redfin.com/MA/Leominster/126-Chapman-Pl-01453/home/16539959,,,N,Y,42.505627,-71.751501
PAST SALE,,Townhouse,134 Chapman Pl,Leominster,MA,01453,162900,2,1.5,,1368,,1987,,119,,,,,http://www.redfin.com/MA/Leominster/134-Chapman-Pl-01453/home/16540439,,,N,Y,42.505627,-71.751501
PAST SALE,,Townhouse,140 Chapman Pl,Leominster,MA,01453,212000,2,1.0,,1057,,1987,,201,,,,,http://www.redfin.com/MA/Leominster/140-Chapman-Pl-01453/home/16540433,,,N,Y,42.505627,-71.751501
PAST SALE,,Townhouse,141 Chapman Pl,Leominster,MA,01453,217500,2,1.5,,1057,,1987,,206,,,,,http://www.redfin.com/MA/Leominster/141-Chapman-Pl-01453/home/16540432,,,N,Y,42.505627,-71.751501
PAST SALE,,Townhouse,142 Chapman Pl,Leominster,MA,01453,172000,2,2.0,,1216,,1986,,141,,,,,http://www.redfin.com/MA/Leominster/142-Chapman-Pl-01453/home/16540431,,,N,Y,42.505627,-71.751501
PAST SALE,,Townhouse,143 Chapman Pl,Leominster,MA,01453,175000,2,2.0,,1216,,1986,,144,,,,,http://www.redfin.com/MA/Leominster/143-Chapman-Pl-01453/home/16540430,,,N,Y,42.505627,-71.751501
PAST SALE,,Townhouse,153 Chapman Pl,Leominster,MA,01453,117900,2,1.5,,1384,,1986,,85,,,,,http://www.redfin.com/MA/Leominster/153-Chapman-Pl-01453/home/16540420,,,N,Y,42.505627,-71.751501
PAST SALE,,Townhouse,187 Chapman Pl,Leominster,MA,01453,151500,2,2.0,,1190,,1986,,127,,,,,http://www.redfin.com/MA/Leominster/187-Chapman-Pl-01453/home/16540387,,,N,Y,42.505627,-71.751501
PAST SALE,,Townhouse,191 Chapman Pl,Leominster,MA,01453,144900,2,2.5,,1384,,1986,,105,,,,,http://www.redfin.com/MA/Leominster/191-Chapman-Pl-01453/home/16540385,,,N,Y,42.505627,-71.751501
PAST SALE,,Townhouse,215 Chapman Pl,Leominster,MA,01453,138900,2,2.5,,1384,,1986,,100,,,,,http://www.redfin.com/MA/Leominster/215-Chapman-Pl-01453/home/16540373,,,N,Y,42.505627,-71.751501
PAST SALE,,Townhouse,217 Chapman Pl,Leominster,MA,01453,214000,2,2.5,,1384,,1986,,155,,,,,http://www.redfin.com/MA/Leominster/217-Chapman-Pl-01453/home/16540372,,,N,Y,42.505627,-71.751501
PAST SALE,,Townhouse,219 Chapman Pl,Leominster,MA,01453,124900,2,2.5,,1368,,1986,,91,,,,,http://www.redfin.com/MA/Leominster/219-Chapman-Pl-01453/home/16540371,,,N,Y,42.505627,-71.751501
PAST SALE,,Condo/Co-op,740 Central St Unit C2,Leominster,MA,01453,65000,1,1.0,,755,,1972,,86,,,,,http://www.redfin.com/MA/Leominster/740-Central-St-01453/unit-C2/home/16539719,,,N,Y,42.5026901,-71.7458087
PAST SALE,,Condo/Co-op,740 Central St Unit L45,Leominster,MA,01453,75000,2,1.0,,921,,1972,,81,,,,,http://www.redfin.com/MA/Leominster/740-Central-St-01453/unit-L45/home/16539691,,,N,Y,42.5026901,-71.7458087
PAST SALE,,Condo/Co-op,740 Central St Unit J6,Leominster,MA,01453,62000,1,1.0,,763,,1972,,81,,,,,http://www.redfin.com/MA/Leominster/740-Central-St-01453/unit-J6/home/16539684,,,N,Y,42.5026901,-71.7458087
PAST SALE,,Condo/Co-op,740 Central St Unit T6,Leominster,MA,01453,67400,1,1.0,,765,,1972,,88,,,,,http://www.redfin.com/MA/Leominster/740-Central-St-01453/unit-T6/home/16539681,,,N,Y,42.5026901,-71.7458087
PAST SALE,July-31-2008,Condo/Co-op,740 Central St Unit J-8,Leominster,MA,01453,38500,1,1.0,Leominster,763,,1972,3431,50,213,Sold,,,http://www.redfin.com/MA/Leominster/740-Central-St-01453/unit-J8/home/16540170,MLS PIN,70671987,N,Y,42.5026901,-71.7458087
PAST SALE,September-4-2009,Condo/Co-op,740 Central St Unit T8,Leominster,MA,01453,31242,1,1.0,Leominster,765,,1972,3031,41,182,Sold,,,http://www.redfin.com/MA/Leominster/740-Central-St-01453/unit-T8/home/16540167,MLS PIN,70927105,N,Y,42.5026901,-71.7458087
PAST SALE,September-4-2009,Condo/Co-op,740 Central St Unit T10,Leominster,MA,01453,31324,1,1.0,Leominster,763,,1972,3031,41,173,Sold,,,http://www.redfin.com/MA/Leominster/740-Central-St-01453/unit-T10/home/16540151,MLS PIN,70929444,N,Y,42.5026901,-71.7458087
PAST SALE,,Condo/Co-op,740 Central St Unit T12,Leominster,MA,01453,60000,1,1.0,,764,,1972,,79,,,,,http://www.redfin.com/MA/Leominster/740-Central-St-01453/unit-T12/home/16540135,,,N,Y,42.5026901,-71.7458087
PAST SALE,,Condo/Co-op,740 Central St Unit R14,Leominster,MA,01453,43700,2,1.0,,889,,1972,,49,,,,,http://www.redfin.com/MA/Leominster/740-Central-St-01453/unit-R14/home/16540120,,,N,Y,42.5026901,-71.7458087
PAST SALE,,Condo/Co-op,740 Central St Unit H15,Leominster,MA,01453,29000,1,1.0,,486,,1972,,60,,,,,http://www.redfin.com/MA/Leominster/740-Central-St-01453/unit-H15/home/16540115,,,N,Y,42.5026901,-71.7458087
PAST SALE,,Condo/Co-op,740 Central St Unit W20,Leominster,MA,01453,70000,2,1.0,,918,,1972,,76,,,,,http://www.redfin.com/MA/Leominster/740-Central-St-01453/unit-W20/home/16540070,,,N,Y,42.5026901,-71.7458087
PAST SALE,,Condo/Co-op,740 Central St Unit H21,Leominster,MA,01453,59000,1,1.0,,762,,1972,,77,,,,,http://www.redfin.com/MA/Leominster/740-Central-St-01453/unit-H21/home/16540067,,,N,Y,42.5026901,-71.7458087
PAST SALE,January-30-2009,Condo/Co-op,740 Central St Unit J21,Leominster,MA,01453,27500,1,1.0,Leominster,763,316681,1972,3248,36,180,Sold,,,http://www.redfin.com/MA/Leominster/740-Central-St-01453/unit-J21/home/16540066,MLS PIN,70845979,N,Y,42.5026901,-71.7458087
PAST SALE,,Condo/Co-op,740 Central St Unit R21,Leominster,MA,01453,76300,1,1.0,,766,,1972,,100,,,,,http://www.redfin.com/MA/Leominster/740-Central-St-01453/unit-R21/home/16540064,,,N,Y,42.5026901,-71.7458087
PAST SALE,,Townhouse,18 Litchfield Pines Dr,Leominster,MA,01453,144500,1,1.0,,840,,1985,,172,,,,,http://www.redfin.com/MA/Leominster/18-Litchfield-Pines-Dr-01453/home/16539649,,,N,Y,42.502308,-71.748588
PAST SALE,,Townhouse,22 Litchfield Pines Dr,Leominster,MA,01453,100000,2,1.5,,992,,1985,,101,,,,,http://www.redfin.com/MA/Leominster/22-Litchfield-Pines-Dr-01453/home/16539647,,,N,Y,42.5030998,-71.7485761
