SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,August-12-2016,Single Family Residential,30 Bowker St,Lexington,MA,02421,790000,4,2.5,Liberty Hights,1862,5034,1926,510,424,,Sold,,,http://www.redfin.com/MA/Lexington/30-Bowker-St-02421/home/11776410,MLS PIN,72016281,N,Y,42.4247533,-71.1980405
PAST SALE,December-30-2015,Townhouse,4 Emerson Gardens Rd #4,Lexington,MA,02421,420000,2,1.5,Lexington,1453,436,1965,736,289,525,Sold,,,http://www.redfin.com/MA/Lexington/4-Emerson-Gardens-Rd-02420/unit-4/home/101854777,MLS PIN,71931168,N,Y,42.4394236,-71.2036429
PAST SALE,,Single Family Residential,6 Tewksbury St,Lexington,MA,02421,699000,3,2.0,,2000,6702,1921,,350,,,,,http://www.redfin.com/MA/Lexington/6-Tewksbury-St-02421/home/8571064,,,N,Y,42.4543447,-71.2349147
PAST SALE,November-25-2013,Single Family Residential,29 Pine Knoll Rd,Lexington,MA,02420,820000,5,3.0,Lexington,1788,40019,1934,1501,459,,Sold,,,http://www.redfin.com/MA/Lexington/29-Pine-Knoll-Rd-02420/home/8541212,MLS PIN,71589130,N,Y,42.482176,-71.2532607
PAST SALE,November-3-2017,Single Family Residential,5 WRIGHT St,Lexington,MA,02420,1475000,4,4.5,Lexington,6000,37405,1996,62,246,,Sold,,,http://www.redfin.com/MA/Lexington/5-Wright-St-02420/home/8585975,MLS PIN,72187610,N,Y,42.4820792,-71.2465455
PAST SALE,June-26-2017,Single Family Residential,12 DUDLEY Rd,Lexington,MA,02421,1285000,5,3.5,Lexington,3196,15936,1969,192,402,,Sold,,,http://www.redfin.com/MA/Lexington/12-Dudley-Rd-02421/home/8543870,MLS PIN,72138349,N,Y,42.421862,-71.2173065
PAST SALE,November-5-2014,Single Family Residential,15 Goffe Rd,Lexington,MA,02421,887775,4,3.0,Lexington,2200,22905,1969,1156,404,,Sold,,,http://www.redfin.com/MA/Lexington/15-Goffe-Rd-02421/home/8547962,MLS PIN,71736487,N,Y,42.4226363,-71.2187527
PAST SALE,March-27-2015,Single Family Residential,31 Bowker St,Lexington,MA,02421,652000,3,2.0,Lexington,1533,4410,1921,1014,425,,Sold,,,http://www.redfin.com/MA/Lexington/31-Bowker-St-02421/home/8546269,MLS PIN,71786401,N,Y,42.4247526,-71.1984969
PAST SALE,August-20-2013,Townhouse,61 Fifer Ln #61,Lexington,MA,02420,445000,3,2.0,Lexington,1964,,1977,1598,227,554,Sold,,,http://www.redfin.com/MA/Lexington/61-Fifer-Ln-02420/unit-61/home/113234219,MLS PIN,71543867,N,Y,42.4806066,-71.2485544
PAST SALE,June-9-1999,Single Family Residential,32 JAMES St,Lexington,MA,02420,216000,2,1.0,Lexington,786,7500,1950,6784,275,,Sold,,,http://www.redfin.com/MA/Lexington/32-James-St-02420/home/8586850,MLS PIN,30311087,N,Y,42.4831766,-71.245531
PAST SALE,July-22-2005,Single Family Residential,22 Heritage Dr,Lexington,MA,02420,1063000,5,2.5,Lexington,2888,30193,1971,4549,368,,Sold,,,http://www.redfin.com/MA/Lexington/22-Heritage-Dr-02420/home/8587098,MLS PIN,70177664,N,Y,42.485204,-71.2431086
PAST SALE,,Single Family Residential,27 Volunteer Way,Lexington,MA,02420,840000,5,1.5,,1536,36970,1963,,547,,,,,http://www.redfin.com/MA/Lexington/27-Volunteer-Way-02420/home/8586745,,,N,Y,42.4846793,-71.2470787
PAST SALE,,Single Family Residential,6 Coach Rd,Lexington,MA,02420,895000,4,4.0,,2548,34792,1966,,351,,,,,http://www.redfin.com/MA/Lexington/6-Coach-Rd-02420/home/8587051,,,N,Y,42.4855672,-71.2466616
PAST SALE,September-26-1997,Townhouse,26 FIFER Ln #26,Lexington,MA,,319000,3,2.0,Lexington,2200,,1978,7405,145,372,Sold,,,http://www.redfin.com/MA/Lexington/26-Fifer-Ln-02420/unit-26/home/137454623,MLS PIN,50379804,N,Y,42.480229,-71.2498733
PAST SALE,March-30-2001,Townhouse,6 FIFER Ln #61,Lexington,MA,02420,459000,3,2.0,Lexington,1598,,1976,6124,287,394,Sold,,,http://www.redfin.com/MA/Lexington/6-Fifer-Ln-02420/unit-61/home/137975566,MLS PIN,30480496,N,Y,42.4789227,-71.2521315
PAST SALE,May-15-2001,Condo/Co-op,10 DRUMMER BOY Way #0,Lexington,MA,02420,287000,1,1.5,Lexington,922,,1976,6078,311,261,Sold,,,http://www.redfin.com/MA/Lexington/10-Drummer-Boy-Way-02420/unit-0/home/138151648,MLS PIN,30484444,N,Y,42.4779255,-71.2508057
PAST SALE,June-26-2003,Multi-Family (2-4 Unit),72 WINTER St,Lexington,MA,02420,520000,4,3.0,Lexington,2004,20027,1920,5306,259,,Sold,,,http://www.redfin.com/MA/Lexington/72-Winter-St-02420/home/8586234,MLS PIN,30705936,N,Y,42.4814811,-71.2506742
PAST SALE,October-1-2008,Single Family Residential,30 Centre St,Lexington,MA,02421,515000,4,2.0,Lexington,1530,15500,1950,3382,337,,Sold,,,http://www.redfin.com/MA/Lexington/30-Centre-St-02421/home/8579834,MLS PIN,70802620,N,Y,42.4657674,-71.248237
PAST SALE,May-30-2014,Single Family Residential,65 Harding Rd,Lexington,MA,02420,1082000,4,3.5,Manor Neighborhood,3543,6562,2003,1315,305,,Sold,,,http://www.redfin.com/MA/Lexington/65-Harding-Rd-02420/home/8582376,MLS PIN,71647713,N,Y,42.4683604,-71.241924
PAST SALE,,Townhouse,44 Fifer Ln,Lexington,MA,02420,470500,3,2.0,,1590,436,1977,,296,,,,,http://www.redfin.com/MA/Lexington/44-Fifer-Ln-02420/home/8585096,,,N,Y,42.4806735,-71.2490348
PAST SALE,July-29-2016,Single Family Residential,5 Hadley Rd,Lexington,MA,02420,785000,3,2.5,Lexington,1856,40454,1966,524,423,,Sold,,,http://www.redfin.com/MA/Lexington/5-Hadley-Rd-02420/home/8585925,MLS PIN,72015713,N,Y,42.477176,-71.2440403
PAST SALE,,Single Family Residential,105 Winter St,Lexington,MA,02420,1335000,4,4.0,,3270,19036,2012,,408,,,,,http://www.redfin.com/MA/Lexington/105-Winter-St-02420/home/8587199,,,N,Y,42.4831163,-71.2486153
PAST SALE,June-29-2010,Single Family Residential,223 Grove St,Lexington,MA,02420,460000,5,2.5,Lexington,1400,40619,1962,2746,329,,Sold,,,http://www.redfin.com/MA/Lexington/223-Grove-St-02420/home/8586294,MLS PIN,71001399,N,Y,42.486818,-71.2406461
PAST SALE,July-7-2014,Single Family Residential,15 Volunteer Way,Lexington,MA,02420,772000,3,1.5,Lexington,2387,53958,1962,1277,323,,Sold,,,http://www.redfin.com/MA/Lexington/15-Volunteer-Way-02420/home/8586762,MLS PIN,71687498,N,Y,42.485966,-71.2443632
PAST SALE,July-24-2015,Single Family Residential,90 & 92 Grant St,Lexington,MA,02420,849000,3,2.0,Lexington Center,2518,48208,1973,895,337,,Sold,,,http://www.redfin.com/MA/Lexington/90-92-02420/home/86137024,MLS PIN,71860079,N,Y,42.4755485,-71.2521175
PAST SALE,July-16-2008,Single Family Residential,84 Winter St,Lexington,MA,02420,951050,4,2.5,Lexington,2723,9979,1999,3459,349,,Sold,,,http://www.redfin.com/MA/Lexington/84-Winter-St-02420/home/8586185,MLS PIN,70740596,N,Y,42.482152,-71.2503013
