SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,January-23-2014,Single Family Residential,218 Concord Rd,Lincoln,MA,01773,1000000,3,2.5,Lincoln,2970,200792,1946,1442,337,,Sold,,,http://www.redfin.com/MA/Lincoln/218-Concord-Rd-01773/home/8556953,MLS PIN,71526736,N,Y,42.410567,-71.341692
PAST SALE,November-1-1995,Single Family Residential,18 GRANVILLE Rd,Lincoln,MA,,500000,6,3.0,Lincoln,3000,261360,1942,8100,167,,Sold,,,http://www.redfin.com/MA/Lincoln/18-Granville-Rd-01773/home/8553026,MLS PIN,50285762,N,Y,42.430045,-71.328779
PAST SALE,July-19-1995,Townhouse,"34 INDIAN CAMP Ln Unit 34B,34",Lincoln,MA,,161000,2,1.5,Lincoln,1114,,1993,8205,145,204,Sold,,,http://www.redfin.com/MA/Lincoln/34-Indian-Camp-Ln-01773/unit-34B-34/home/137183812,MLS PIN,50280332,N,Y,42.4555812,-71.2900918
PAST SALE,,Single Family Residential,9 Baker Bridge Rd,Lincoln,MA,01773,656000,4,4.0,,3591,56628,1939,,183,,,,,http://www.redfin.com/MA/Lincoln/9-Baker-Bridge-Rd-01773/home/8552997,,,N,Y,42.4284046,-71.3173814
PAST SALE,September-28-2006,Single Family Residential,135 Trapelo Rd,Lincoln,MA,01773,788000,4,2.5,Lincoln,2944,40510,1959,4116,268,,Sold,,,http://www.redfin.com/MA/Lincoln/135-Trapelo-Rd-01773/home/8553846,MLS PIN,70265663,N,Y,42.422163,-71.2793305
PAST SALE,,Single Family Residential,36 Beaver Pond Rd,Lincoln,MA,01773,490000,4,4.0,,7342,138588,1998,,67,,,,,http://www.redfin.com/MA/Lincoln/36-Beaver-Pond-Rd-01773/home/8554932,,,N,Y,42.4178496,-71.3054867
PAST SALE,,Single Family Residential,95 Tower Rd,Lincoln,MA,01773,950000,5,3.5,,3584,78693,1938,,265,,,,,http://www.redfin.com/MA/Lincoln/95-Tower-Rd-01773/home/8557392,,,N,Y,42.4110167,-71.3113328
PAST SALE,June-19-2015,Single Family Residential,20 Farrar Rd,Lincoln,MA,01773,1250000,4,2.5,Lincoln,3278,40510,1860,930,381,,Sold,,,http://www.redfin.com/MA/Lincoln/20-Farrar-Rd-01773/home/8558275,MLS PIN,71802682,N,Y,42.4073794,-71.3467779
PAST SALE,,Townhouse,27 S Commons,Lincoln,MA,01773,317000,3,3.5,,2407,,1996,,132,,,,,http://www.redfin.com/MA/Lincoln/27-S-Commons-01773/home/8549514,,,N,Y,42.4557462,-71.2923949
PAST SALE,September-30-2003,Single Family Residential,15 MACKINTOSH Ln,Lincoln,MA,01773,985000,4,3.5,Lincoln,3877,58370,1860,5210,254,,Sold,,,http://www.redfin.com/MA/Lincoln/15-Mackintosh-Ln-01773/home/8554482,MLS PIN,30689709,N,Y,42.4196838,-71.3180119
PAST SALE,June-27-2013,Single Family Residential,5 Longmeadow Rd,Lincoln,MA,01773,1225000,5,2.5,Lincoln,3818,40075,1969,1652,321,,Sold,,,http://www.redfin.com/MA/Lincoln/5-Longmeadow-Rd-01773/home/8558158,MLS PIN,71481839,N,Y,42.4050059,-71.3382333
PAST SALE,,Condo/Co-op,82 Virginia Rd Unit 104,Lincoln,MA,01773,293500,2,2.0,,1259,,2006,,233,,,,,http://www.redfin.com/MA/Lincoln/82-Virginia-Rd-01773/unit-104/home/8559971,,,N,Y,42.4584248,-71.2973748
PAST SALE,August-7-1995,Single Family Residential,32 FARRAR Rd,Lincoln,MA,,385000,3,3.0,Lincoln,,64033,1902,8186,,,Sold,,,http://www.redfin.com/MA/Lincoln/32-Farrar-Rd-01773/home/8558241,MLS PIN,50281908,N,Y,42.407161,-71.3489064
PAST SALE,May-31-2011,Single Family Residential,9 Stratford Way,Lincoln,MA,01773,1860000,5,6.5,Lincoln,5592,81893,1999,2410,333,1000,Sold,,,http://www.redfin.com/MA/Lincoln/9-Stratford-Way-01773/home/8554088,MLS PIN,71144161,N,Y,42.4206324,-71.2825727
PAST SALE,May-12-1999,Single Family Residential,8 LINWAY Rd,Lincoln,MA,01773,759000,5,3.5,Lincoln,3700,44926,1999,6812,205,,Sold,,,http://www.redfin.com/MA/Lincoln/8-Linway-Rd-01773/home/8558394,MLS PIN,30288055,N,Y,42.4029052,-71.3390004
PAST SALE,June-8-2009,Single Family Residential,300 S Great Rd,Lincoln,MA,01773,1250000,4,3.5,Lincoln,3606,49223,2008,3132,347,,Sold,,,http://www.redfin.com/MA/Lincoln/300-S-Great-Rd-01773/home/8558791,MLS PIN,70826939,N,Y,42.4021708,-71.3170618
PAST SALE,August-31-2007,Single Family Residential,204 Tower Rd,Lincoln,MA,01773,1225000,4,5.5,Lincoln,5400,101930,1990,3779,227,,Sold,,,http://www.redfin.com/MA/Lincoln/204-Tower-Rd-01773/home/8559477,MLS PIN,70570314,N,Y,42.3983596,-71.3178534
PAST SALE,September-19-2014,Single Family Residential,162 Bedford Rd,Lincoln,MA,01773,670000,4,3.0,Lincoln,2307,42688,1953,1203,290,,Sold,,,http://www.redfin.com/MA/Lincoln/162-Bedford-Rd-01773/home/8550589,MLS PIN,71717245,N,Y,42.4461368,-71.2936209
PAST SALE,,Single Family Residential,4 Morningside Ln,Lincoln,MA,01773,290000,4,2.5,,3843,49223,1957,,75,,,,,http://www.redfin.com/MA/Lincoln/4-Morningside-Ln-01773/home/11605591,,,N,Y,42.4447276,-71.2959446
PAST SALE,August-13-1999,Townhouse,36 INDIAN CAMP Ln Unit 36D,Lincoln,MA,01773,270000,3,1.5,Lincoln,1332,,1989,6719,203,243,Sold,,,http://www.redfin.com/MA/Lincoln/36-Indian-Camp-Ln-01773/unit-36D/home/137640247,MLS PIN,30322424,N,Y,42.4555437,-71.2900743
PAST SALE,August-31-1998,Condo/Co-op,"16 N COMMONS Unit D,16",Lincoln,MA,,292000,4,2.5,Lincoln,1760,,1991,7066,166,275,Sold,,,http://www.redfin.com/MA/Lincoln/16-N-Commons-01773/unit-D-16/home/138469222,MLS PIN,50497244,N,Y,42.456378,-71.2923
PAST SALE,,Townhouse,24 Indian Camp Ln Unit R,Lincoln,MA,01773,457000,3,2.0,,1420,,1989,,322,,,,,http://www.redfin.com/MA/Lincoln/24-Indian-Camp-Ln-01773/unit-R/home/8549463,,,N,Y,42.4556861,-71.2904612
PAST SALE,,Townhouse,20 Indian Camp Ln Unit L,Lincoln,MA,01773,469000,3,2.5,,1568,,1991,,299,,,,,http://www.redfin.com/MA/Lincoln/20-Indian-Camp-Ln-01773/unit-L/home/8549375,,,N,Y,42.4557598,-71.2905009
PAST SALE,June-2-2008,Single Family Residential,30 Beaver Pond Rd,Lincoln,MA,01773,2400000,4,3.5,Lincoln,4141,406395,1981,3503,580,,Sold,,,http://www.redfin.com/MA/Lincoln/30-Beaver-Pond-Rd-01773/home/8554268,MLS PIN,70749904,N,Y,42.4181762,-71.3049396
PAST SALE,September-2-2009,Single Family Residential,33 Winter St,Lincoln,MA,01773,799000,5,3.5,Lincoln,3106,93634,1964,3046,257,,Sold,,,http://www.redfin.com/MA/Lincoln/33-Winter-St-01773/home/8554996,MLS PIN,70939610,N,Y,42.4188099,-71.2874051
