SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,December-4-2014,Single Family Residential,750 Chestnut St,Needham,MA,02492,1355000,4,3.5,Needham,4100,144184,1981,1127,330,,Sold,,,http://www.redfin.com/MA/Needham/750-Chestnut-St-02492/home/11715642,MLS PIN,71741602,N,Y,42.2622317,-71.2350933
PAST SALE,May-18-2016,Condo/Co-op,1208 Greendale Ave #210,Needham,MA,02492,305000,2,2.0,Needham,1486,,1968,596,205,717,Sold,,,http://www.redfin.com/MA/Needham/1208-Greendale-Ave-02492/unit-210/home/8938973,MLS PIN,71973897,N,Y,42.2683475,-71.2054062
PAST SALE,July-29-2015,Single Family Residential,256 Dedham Ave,Needham,MA,02492,947500,4,3.5,Needham,2993,11761,1997,890,317,,Sold,,,http://www.redfin.com/MA/Needham/256-Dedham-Ave-02492/home/11714350,MLS PIN,71827250,N,Y,42.27517,-71.2284538
PAST SALE,August-1-2017,Single Family Residential,12 Hillcrest Rd,Needham,MA,02492,875000,3,3.5,Needham,2210,5227,1940,156,396,,Sold,,,http://www.redfin.com/MA/Needham/12-Hillcrest-Rd-02492/home/8899663,MLS PIN,72174049,N,Y,42.2775008,-71.2169544
PAST SALE,,Condo/Co-op,760 Highland Ave Apt 21,Needham,MA,02494,195000,2,3.0,,1425,,1983,,137,,,,,http://www.redfin.com/MA/Needham/760-Highland-Ave-02494/unit-21/home/8920323,,,N,Y,42.2963592,-71.233655
PAST SALE,,Single Family Residential,5 Longfellow Rd,Needham,MA,02494,650000,3,1.5,,1518,9583,1949,,428,,,,,http://www.redfin.com/MA/Needham/5-Longfellow-Rd-02494/home/8917452,,,N,Y,42.2903903,-71.2317405
PAST SALE,,Multi-Family (2-4 Unit),34 West St,Needham,MA,02494,148000,4,2.0,,2313,10890,1910,,64,,,,,http://www.redfin.com/MA/Needham/34-West-St-02494/home/8917674,,,N,Y,42.2928792,-71.2336034
PAST SALE,,Single Family Residential,490 Webster St,Needham,MA,02494,240700,3,2.0,,1729,8712,1950,,139,,,,,http://www.redfin.com/MA/Needham/490-Webster-St-02494/home/8916980,,,N,Y,42.2910356,-71.2312044
PAST SALE,,Single Family Residential,5 Evergreen Rd,Needham,MA,02494,184000,3,2.0,,1479,13068,1951,,124,,,,,http://www.redfin.com/MA/Needham/5-Evergreen-Rd-02494/home/8922218,,,N,Y,42.3122771,-71.233843
PAST SALE,,Single Family Residential,139 Pine Grove St,Needham,MA,02494,215000,3,2.5,,1576,10890,1949,,136,,,,,http://www.redfin.com/MA/Needham/139-Pine-Grove-St-02494/home/8925233,,,N,Y,42.301252,-71.240512
