SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,August-28-2015,Condo/Co-op,51 Bennington St #51,Newton,MA,2458,735000,3,2.5,Newton,1904,7290,1880,833,386,250,Sold,,,http://www.redfin.com/MA/Newton/51-Bennington-St-02458/unit-51/home/88355872,MLS PIN,71870370,N,Y,42.3519228,-71.1879336
PAST SALE,June-30-2017,Single Family Residential,554 Auburn St,Newton,MA,2466,1321250,5,4,Auburndale,4205,6850,2013,161,314,,Sold,,,http://www.redfin.com/MA/Newton/554-Auburn-St-02466/home/11435677,MLS PIN,72141365,N,Y,42.3443667,-71.25618
PAST SALE,,Condo/Co-op,57 Broadlawn Park Unit 22B,,MA,2467,230000,1,1,,748,,1964,,307,,,,,http://www.redfin.com/MA/Unknown/57-Broadlawn-Park-02467/unit-22B/home/9205819,,,N,Y,42.3027456,-71.1653019
PAST SALE,September-15-2015,Single Family Residential,31 Walsh Rd,Newton,MA,2459,1500000,4,4.5,Newton Center,5630,11183,2009,815,266,,Sold,,,http://www.redfin.com/MA/Newton/31-Walsh-Rd-02459/home/11491361,MLS PIN,71878197,N,Y,42.2909596,-71.1917468
PAST SALE,March-24-2017,Single Family Residential,73 Canterbury Rd,Newton,MA,2461,867000,3,2.5,Newton Highlands,1872,5270,1940,259,463,,Sold,,,http://www.redfin.com/MA/Newton/73-Canterbury-Rd-02461/home/11455328,MLS PIN,72124686,N,Y,42.3198391,-71.2202095
PAST SALE,November-15-2017,Condo/Co-op,300 Tremont St #11,Newton,MA,2458,380000,1,1,Newton,874,25704,1967,23,435,391,Sold,,,http://www.redfin.com/MA/Newton/300-Tremont-St-02458/unit-11/home/11498901,MLS PIN,72239027,N,Y,42.3545461,-71.1806426
PAST SALE,June-24-2014,Condo/Co-op,59 Charlesbank Rd #3,Newton,MA,2458,480000,3,1,Newton,1515,,1900,1263,317,292,Sold,,,http://www.redfin.com/MA/Newton/59-Charlesbank-Rd-02458/unit-3/home/55088072,MLS PIN,71658589,N,Y,42.3587813,-71.1786474
PAST SALE,November-17-2016,Condo/Co-op,280 Boylston St #102,Newton,MA,2467,379000,1,1,Newton,840,194106,1970,386,451,510,Sold,,,http://www.redfin.com/MA/Newton/280-Boylston-St-02459/unit-102/home/11481176,MLS PIN,72064126,N,Y,42.3188268,-71.1788646
PAST SALE,November-20-2017,Single Family Residential,305 Woodcliff Rd,Newton,MA,2461,920000,3,2,Newton,1696,7704,1955,18,542,,Sold,,,http://www.redfin.com/MA/Newton/305-Woodcliff-Rd-02461/home/11478340,MLS PIN,72235320,N,Y,42.312755,-71.201416
PAST SALE,June-30-2017,Townhouse,56 Webster St #56,Newton,MA,2465,860000,4,3.5,Newton,2443,3776,1865,161,352,319,Sold,,,http://www.redfin.com/MA/Newton/56-Webster-St-02465/unit-56/home/77492250,MLS PIN,72170372,N,Y,42.3500012,-71.2288039
