SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,July-8-2013,Single Family Residential,53 Emerson Rd,Watertown,MA,02472,510000,3,1.0,Watertown,1323,5400,1935,1641,385,,Sold,,,http://www.redfin.com/MA/Watertown/53-Emerson-Rd-02472/home/11693878,MLS PIN,71527311,N,Y,42.375271,-71.205201
PAST SALE,March-24-2017,Single Family Residential,31 Beacon Park,Watertown,MA,02472,685000,3,1.5,Watertown,1316,5369,1920,286,521,,Sold,,,http://www.redfin.com/MA/Watertown/31-Beacon-Park-02472/home/11696325,MLS PIN,72109714,N,Y,42.3640963,-71.1752735
PAST SALE,July-29-2016,Condo/Co-op,3 Repton #3401,Watertown,MA,02472,526000,2,2.0,Watertown,978,,2008,524,538,526,Sold,,,http://www.redfin.com/MA/Watertown/3-Repton-Pl-02472/unit-3401/home/18971643,MLS PIN,72019553,N,Y,42.3672556,-71.2116522
PAST SALE,May-6-2016,Townhouse,73 Putnam St #75,Watertown,MA,02472,585000,3,2.0,East Watertown,1872,5648,1915,608,313,220,Sold,,,http://www.redfin.com/MA/Watertown/73-Putnam-St-02472/unit-75/home/104211345,MLS PIN,71973698,N,Y,42.3668842,-71.1666389
PAST SALE,August-13-2013,Townhouse,18 Gilkey Ct #18,Watertown,MA,02472,495000,4,4.5,Watertown,2300,,2008,1605,215,140,Sold,,,http://www.redfin.com/MA/Watertown/18-Gilkey-Ct-02472/unit-18/home/113231577,MLS PIN,71538270,N,Y,42.3656634,-71.1796303
PAST SALE,December-20-2017,Townhouse,358 Lexington St #358,Watertown,MA,02472,411000,2,1.0,Watertown,1300,,1940,15,316,310,Sold,,,http://www.redfin.com/MA/Watertown/358-Lexington-St-02472/unit-358/home/136849875,MLS PIN,72247395,N,Y,42.379648,-71.19146
PAST SALE,December-9-2015,Condo/Co-op,224 N Beacon St #224,Watertown,MA,02472,499990,3,2.0,Watertown,1901,,1915,757,263,100,Sold,,,http://www.redfin.com/MA/Watertown/224-N-Beacon-St-02472/unit-224/home/100386162,MLS PIN,71906756,N,Y,42.363307,-71.172248
PAST SALE,,Single Family Residential,11 Hill St,Watertown,MA,02472,167000,5,3.0,,3563,7394,1900,,47,,,,,http://www.redfin.com/MA/Watertown/11-Hill-St-02472/home/11685175,,,N,Y,42.370257,-71.1853365
PAST SALE,May-18-2017,Condo/Co-op,31 Hardy Ave #1,Watertown,MA,02472,555000,3,1.0,Watertown,1400,,1920,231,396,90,Sold,,,http://www.redfin.com/MA/Watertown/31-Hardy-Ave-02472/unit-1/home/12389864,MLS PIN,72141227,N,Y,42.3792054,-71.1809618
PAST SALE,March-31-2016,Townhouse,19 Pierce Rd #64,Watertown,MA,02472,345000,2,1.0,Watertown,1387,,1940,644,249,305,Sold,,,http://www.redfin.com/MA/Watertown/19-Pierce-Rd-02472/unit-64/home/45405110,MLS PIN,71960023,N,Y,42.3803148,-71.1920679
