SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,August-14-2015,Single Family Residential,211 Commonwealth Rd,Wayland,MA,01778,405000,3,1.5,Wayland,1625,5540,1880,874,249,,Sold,,,http://www.redfin.com/MA/Wayland/211-Commonwealth-Rd-01778/home/11693861,MLS PIN,71818558,N,Y,42.3190936,-71.3604462
PAST SALE,July-14-2017,Townhouse,23 Lillian Way #28,Wayland,MA,01778,815000,2,2.5,Wayland,2490,,2015,174,327,395,Sold,,,http://www.redfin.com/MA/Wayland/23-Lillian-Way-01778/unit-28/home/63066010,MLS PIN,72153646,N,Y,42.3651754,-71.3701856
PAST SALE,October-11-2017,Townhouse,25 Lillian Way #25,Wayland,MA,01778,960000,3,3.5,Wayland,3363,,2015,85,285,395,Sold,,,http://www.redfin.com/MA/Wayland/25-Lillian-Way-01778/unit-25/home/143309834,MLS PIN,72214412,N,Y,42.3654463,-71.3699772
PAST SALE,February-28-2014,Townhouse,68 Pickwick Way #68,Wayland,MA,01778,618000,2,2.5,Wayland,2317,,1988,1406,267,730,Sold,,,http://www.redfin.com/MA/Wayland/68-Pickwick-Way-01778/unit-68/home/77522834,MLS PIN,71618112,N,Y,42.3347759,-71.3365405
PAST SALE,August-26-2016,Single Family Residential,46 Davelin Rd,Wayland,MA,01778,604500,4,2.0,Wayland,1593,20000,1951,496,379,,Sold,,,http://www.redfin.com/MA/Wayland/46-Davelin-Rd-01778/home/11687613,MLS PIN,72019578,N,Y,42.3421916,-71.3608312
PAST SALE,May-30-2014,Townhouse,14 Pickwick Way #14,Wayland,MA,01778,596000,3,2.5,Wayland,1975,,1989,1315,302,779,Sold,,,http://www.redfin.com/MA/Wayland/14-Pickwick-Way-01778/unit-14/home/77503618,MLS PIN,71649982,N,Y,42.3347462,-71.3350651
PAST SALE,August-1-2016,Single Family Residential,26 Grove St,Wayland,MA,01778,740000,4,2.5,Wayland,3276,60436,1969,521,226,,Sold,,,http://www.redfin.com/MA/Wayland/26-Grove-St-01778/home/11682423,MLS PIN,71987908,N,Y,42.405867,-71.3671567
PAST SALE,August-1-2016,Single Family Residential,17 Bayfield Rd,Wayland,MA,01778,725000,4,2.5,Wayland,2708,20400,1958,521,268,,Sold,,,http://www.redfin.com/MA/Wayland/17-Bayfield-Rd-01778/home/11689601,MLS PIN,72008262,N,Y,42.3318154,-71.3642941
PAST SALE,September-29-2016,Single Family Residential,46 Barney Hill Rd,Wayland,MA,01778,885000,3,2.0,Wayland,2242,47488,1963,462,395,,Sold,,,http://www.redfin.com/MA/Wayland/46-Barney-Hill-Rd-01778/home/11692193,MLS PIN,72037914,N,Y,42.3312247,-71.3549407
PAST SALE,June-26-2008,Single Family Residential,33 Highgate Rd,Wayland,MA,01778,508000,3,1.5,Wayland,1756,20473,1959,3479,289,,Sold,,,http://www.redfin.com/MA/Wayland/33-Highgate-Rd-01778/home/11695454,MLS PIN,70749360,N,Y,42.3389661,-71.3768516
PAST SALE,April-27-2015,Single Family Residential,139 Buckskin Dr,Wayland,MA,01778,1700000,5,5.5,Wayland,6939,60000,1977,983,245,,Sold,,,http://www.redfin.com/MA/Wayland/139-Buckskin-Dr-01778/home/113208718,MLS PIN,71573939,N,Y,42.3625953,-71.3614484
PAST SALE,May-28-2013,Single Family Residential,29 Highgate Rd,Wayland,MA,01778,612050,4,3.5,Wayland,2168,21344,1957,1682,282,,Sold,,,http://www.redfin.com/MA/Wayland/29-Highgate-Rd-01778/home/11687482,MLS PIN,71487298,N,Y,42.3395451,-71.3756344
PAST SALE,November-16-2012,Single Family Residential,151 Plain Rd,Wayland,MA,01778,920000,7,2.5,Tower Hill,3360,435600,1890,1875,274,,Sold,,,http://www.redfin.com/MA/Wayland/151-Plain-Rd-01778/home/113216044,MLS PIN,71033966,N,Y,42.364937,-71.33747
PAST SALE,November-24-2014,Single Family Residential,25 Red Barn Rd,Wayland,MA,01778,422000,2,2.0,Wayland,1200,20350,1954,1137,352,,Sold,,,http://www.redfin.com/MA/Wayland/25-Red-Barn-Rd-01778/home/11682791,MLS PIN,71726241,N,Y,42.3993397,-71.352122
PAST SALE,March-26-2010,Single Family Residential,26 PARKLAND Dr,Wayland,MA,01778,430000,4,2.0,Wayland,2066,19070,1953,2841,208,,Sold,,,http://www.redfin.com/MA/Wayland/26-Parkland-Dr-01778/home/11693774,MLS PIN,70997550,N,Y,42.319551,-71.370379
PAST SALE,April-30-2015,Single Family Residential,180 Pelham Island Rd,Wayland,MA,01778,575000,3,1.0,Wayland,1676,41773,1953,980,343,,Sold,,,http://www.redfin.com/MA/Wayland/180-Pelham-Island-Rd-01778/home/11686935,MLS PIN,71801873,N,Y,42.3535328,-71.3767153
PAST SALE,,Single Family Residential,199 Rice Rd,Wayland,MA,01778,575000,5,7.0,,6661,195907,1998,,86,,,,,http://www.redfin.com/MA/Wayland/199-Rice-Rd-01778/home/11687220,,,N,Y,42.3496708,-71.3350173
PAST SALE,,Condo/Co-op,97 Hillside Dr,Wayland,MA,01778,340000,3,2.5,,1975,,1988,,172,,,,,http://www.redfin.com/MA/Wayland/97-Hillside-Dr-01778/home/11690501,,,N,Y,42.33514,-71.338268
PAST SALE,,Single Family Residential,13 Sunset Rd,Wayland,MA,01778,133000,1,1.0,,1278,10000,1918,,104,,,,,http://www.redfin.com/MA/Wayland/13-Sunset-Rd-01778/home/11691606,,,N,Y,42.3301782,-71.3640107
PAST SALE,October-28-2010,Single Family Residential,105 SCHOOL ST- AQUEDUCT Rd,Wayland,MA,01778,500000,4,2.0,South Wayland,1698,20473,1957,2625,294,,Sold,,,http://www.redfin.com/MA/Wayland/105-SCHOOL-ST-AQUEDUCT-Rd-01778/home/77482230,MLS PIN,71125343,N,Y,42.3625953,-71.3614484
PAST SALE,December-17-1997,Single Family Residential,0 ROWAN FIELD ROAD/LOT 1,Wayland,MA,,1000000,5,4.0,Wayland,,60027,1997,7323,,,Sold,,,http://www.redfin.com/MA/Wayland/0-Rowan-Fld-01778/home/133654945,MLS PIN,50362109,N,Y,42.3717961,-71.3395959
PAST SALE,October-21-2002,Single Family Residential,171 CONCORD Rd,Wayland,MA,01778,1250000,5,4.5,Wayland,4518,361548,1940,5554,277,,Sold,,,http://www.redfin.com/MA/Wayland/171-Concord-Rd-01778/home/131037286,MLS PIN,30596889,N,Y,42.3865551,-71.3545272
PAST SALE,,Condo/Co-op,615 Trout Brook Rd,Wayland,MA,01778,161834,2,1.5,,1082,,2009,,150,,,,,http://www.redfin.com/MA/Wayland/615-Trout-Brook-Rd-01778/home/28465856,,,N,Y,42.4084135,-71.3587311
PAST SALE,April-30-2013,Single Family Residential,30 Pilgrim Path,Wayland,MA,01778,576000,3,2.0,Wayland,2034,11194,1997,1710,283,,Sold,,,http://www.redfin.com/MA/Wayland/30-Pilgrim-Path-01778/home/11689075,MLS PIN,71487677,N,Y,42.3344067,-71.3748483
PAST SALE,,Single Family Residential,38 Oak Hill Rd,Wayland,MA,01778,307500,3,2.5,,1592,31926,1966,,193,,,,,http://www.redfin.com/MA/Wayland/38-Oak-Hill-Rd-01778/home/11687511,,,N,Y,42.3423283,-71.3873833
PAST SALE,May-16-2016,Single Family Residential,13 Edgewood Rd,Wayland,MA,01778,1100000,3,2.5,Wayland,2277,14850,1993,598,483,,Sold,,,http://www.redfin.com/MA/Wayland/13-Edgewood-Rd-01778/home/11691373,MLS PIN,71963566,N,Y,42.3266807,-71.3801311
PAST SALE,March-15-2013,Single Family Residential,15 Grove St,Wayland,MA,01778,690000,4,2.5,Wayland,2506,60548,1968,1756,275,,Sold,,,http://www.redfin.com/MA/Wayland/15-Grove-St-01778/home/11682455,MLS PIN,71465151,N,Y,42.4067235,-71.3655066
PAST SALE,August-1-2007,Single Family Residential,41 York Rd,Wayland,MA,01778,960000,4,2.5,Wayland,4148,49223,1995,3809,231,,Sold,,,http://www.redfin.com/MA/Wayland/41-York-Rd-01778/home/11683109,MLS PIN,70500823,N,Y,42.4035914,-71.3508823
PAST SALE,,Single Family Residential,12 Westway Rd,Wayland,MA,01778,232500,4,2.5,,3338,23970,2004,,70,,,,,http://www.redfin.com/MA/Wayland/12-Westway-Rd-01778/home/11686655,,,N,Y,42.3597249,-71.3323637
PAST SALE,August-2-2011,Single Family Residential,13 WHISPERING Ln,Wayland,MA,01778,1100000,5,4.5,Wayland,5116,61420,1997,2347,215,,Sold,,,http://www.redfin.com/MA/Wayland/13-Whispering-Ln-01778/home/11686639,MLS PIN,71227072,N,Y,42.3564259,-71.3319089
PAST SALE,January-5-2010,Single Family Residential,126 Buckskin Dr,Weston,MA,02493,1980000,5,5.0,Weston Estates,5447,63049,1996,2921,364,,Sold,,,http://www.redfin.com/MA/Weston/126-Buckskin-Dr-02493/home/8786294,MLS PIN,70971805,N,Y,42.3530234,-71.3308047
PAST SALE,June-1-2010,Townhouse,9 Glen Oak Dr #9,Wayland,MA,01778,820000,2,2.5,Wayland,2721,,1990,2774,301,801,Sold,,,http://www.redfin.com/MA/Wayland/9-Glen-Oak-Dr-01778/unit-9/home/113224146,MLS PIN,71003097,N,Y,42.332832,-71.330398
PAST SALE,November-15-2011,Townhouse,23 Glen Oak Dr #23,Wayland,MA,01778,1047500,3,3.5,Wayland,3969,,1990,2242,264,949,Sold,,,http://www.redfin.com/MA/Wayland/23-Glen-Oak-Dr-01778/unit-23/home/77513004,MLS PIN,71221579,N,Y,42.333786,-71.329597
PAST SALE,December-5-2013,Townhouse,14 Hillside Dr #14,Wayland,MA,01778,480900,2,2.0,Wayland,1508,,1985,1491,319,624,Sold,,,http://www.redfin.com/MA/Wayland/14-Hillside-Dr-01778/unit-14/home/77522305,MLS PIN,71594619,N,Y,42.335211,-71.3338
PAST SALE,April-10-2013,Townhouse,24 Pickwick Way #24,Wayland,MA,01778,570000,3,2.5,Wayland,1975,1698840,1989,1730,289,778,Sold,,,http://www.redfin.com/MA/Wayland/24-Pickwick-Way-01778/unit-24/home/77519869,MLS PIN,71484428,N,Y,42.334256,-71.335207
PAST SALE,October-1-2009,Townhouse,306 Dahlia Dr #306,Wayland,MA,01778,820000,2,2.5,Wayland,2845,,1998,3017,288,679,Sold,,,http://www.redfin.com/MA/Wayland/306-Dahlia-Dr-01778/unit-306/home/77499298,MLS PIN,70891178,N,Y,42.3433419,-71.3367145
PAST SALE,September-23-2011,Townhouse,1305 Magnolia #1305,Wayland,MA,01778,820000,3,3.5,Wayland,3249,,1999,2295,252,962,Sold,,,http://www.redfin.com/MA/Wayland/1305-Magnolia-Dr-01778/unit-1305/home/77509547,MLS PIN,71209043,N,Y,42.344844,-71.33661
PAST SALE,March-30-2012,Townhouse,1301 Magnolia Dr #1301,Wayland,MA,01778,520000,2,2.5,Wayland,2707,,1999,2106,192,861,Sold,,,http://www.redfin.com/MA/Wayland/1301-Magnolia-Dr-01778/unit-1301/home/77504297,MLS PIN,71321169,N,Y,42.345314,-71.33654
