SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,May-8-2017,Single Family Residential,24 Shaw Rd,Wellesley,MA,02481,950000,4,2.5,Wellesley,2245,11060,1936,241,423,,Sold,,,http://www.redfin.com/MA/Wellesley/24-Shaw-Rd-02481/home/8976987,MLS PIN,72124613,N,Y,42.3090916,-71.2833046
PAST SALE,July-22-2016,Condo/Co-op,12 Russell Rd #403,Wellesley,MA,02482,445000,2,2.0,Wellesley,1246,,2007,531,357,652,Sold,,,http://www.redfin.com/MA/Wellesley/12-Russell-Rd-02482/unit-403/home/12424690,MLS PIN,72011789,N,Y,42.304256,-71.314722
PAST SALE,,Condo/Co-op,12 Russell Rd Unit 302,Wellesley,MA,02482,455000,2,2.5,,1230,,2007,,370,,,,,http://www.redfin.com/MA/Wellesley/12-Russell-Rd-02482/unit-302/home/12424702,,,N,Y,42.304256,-71.314722
PAST SALE,December-1-2009,Single Family Residential,27 Colgate Rd,Wellesley,MA,02482,1400000,6,5.0,Dana Hall,3743,86009,1968,2956,374,,Sold,,,http://www.redfin.com/MA/Wellesley/27-Colgate-Rd-02482/home/8981573,MLS PIN,70876920,N,Y,42.2804194,-71.2845516
PAST SALE,July-27-2012,Single Family Residential,15 Colgate Rd,Wellesley,MA,02482,1620000,4,3.5,"Dana Hall, Hunnewell",3522,30334,1968,1987,460,,Sold,,,http://www.redfin.com/MA/Wellesley/15-Colgate-Rd-02482/home/8981588,MLS PIN,71376675,N,Y,42.2813605,-71.2850237
PAST SALE,January-22-2014,Single Family Residential,12 Swarthmore Rd,Wellesley,MA,02482,1260000,4,2.5,Dana Hall,2103,20060,1964,1443,599,,Sold,,,http://www.redfin.com/MA/Wellesley/12-Swarthmore-Rd-02482/home/11725206,MLS PIN,71576826,N,Y,42.2971703,-71.2822397
PAST SALE,August-14-2014,Single Family Residential,8 Lathrop Rd,Wellesley,MA,02482,2300000,6,8.0,Dana Hall,5366,20288,2010,1239,429,,Sold,,,http://www.redfin.com/MA/Wellesley/8-Lathrop-Rd-02482/home/8977990,MLS PIN,71657915,N,Y,42.2886971,-71.283149
PAST SALE,September-9-2011,Single Family Residential,21 Longmeadow Rd,Wellesley,MA,02482,1000000,6,3.5,Dana Hall/Sabrina Lake area,2370,21450,1900,2309,422,,Sold,,,http://www.redfin.com/MA/Wellesley/21-Longmeadow-Rd-02482/home/8984044,MLS PIN,71255153,N,Y,42.2800751,-71.2902601
PAST SALE,July-31-2012,Single Family Residential,34 Ingraham Rd,Wellesley,MA,02482,1172000,4,2.5,Wellesley,2933,10000,1917,1983,400,,Sold,,,http://www.redfin.com/MA/Wellesley/34-Ingraham-Rd-02482/home/8983883,MLS PIN,71346755,N,Y,42.2862043,-71.2916232
PAST SALE,August-1-2011,Condo/Co-op,75 Grove St #128,Wellesley,MA,02482,635000,2,2.0,Wellesley,1488,,1972,2348,427,610,Sold,,,http://www.redfin.com/MA/Wellesley/75-Grove-St-02482/unit-128/home/11831848,MLS PIN,71239987,N,Y,42.293765,-71.2915479
PAST SALE,July-22-2014,Condo/Co-op,75 Grove St #229,Wellesley,MA,02482,875000,2,2.0,Wellesley,1734,,1973,1262,505,776,Sold,,,http://www.redfin.com/MA/Wellesley/75-Grove-St-02482/unit-229/home/12424665,MLS PIN,71700356,N,Y,42.293765,-71.2915479
PAST SALE,December-31-2013,Condo/Co-op,75 Grove St #431,Wellesley,MA,02481,739500,2,2.0,Wellesley,1541,,1973,1465,480,743,Sold,,,http://www.redfin.com/MA/Wellesley/75-Grove-St-02482/unit-431/home/11831845,MLS PIN,71573107,N,Y,42.293765,-71.2915479
PAST SALE,February-12-2016,Condo/Co-op,75 Grove St #325,Wellesley,MA,02482,820000,2,2.0,Wellesley,1497,,1973,692,548,768,Sold,,,http://www.redfin.com/MA/Wellesley/75-Grove-St-02482/unit-325/home/12424666,MLS PIN,71927867,N,Y,42.293765,-71.2915479
PAST SALE,June-30-2008,Single Family Residential,124 Benvenue St,Wellesley,MA,02482,995000,4,2.5,Dana Hall,2100,20288,1956,3475,474,,Sold,,,http://www.redfin.com/MA/Wellesley/124-Benvenue-St-02482/home/12429100,MLS PIN,70674824,N,Y,42.288668,-71.283306
