SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,April-24-2013,Single Family Residential,597 South Ave,Weston,MA,02493,784500,3,2.5,Weston,2358,77860,1960,1716,333,,Sold,,,http://www.redfin.com/MA/Weston/597-South-Ave-02493/home/8789064,MLS PIN,71482558,N,Y,42.3397123,-71.3157721
PAST SALE,December-15-2012,Condo/Co-op,4 Somerset Pl Unit 4SP,Weston,MA,02493,1655000,2,2.5,Weston,2284,,2011,1846,725,1135,Sold,,,http://www.redfin.com/MA/Weston/4-Somerset-Pl-02493/unit-4SP/home/39999688,MLS PIN,71247717,N,Y,42.3667625,-71.3031132
PAST SALE,September-30-2014,Single Family Residential,277 Boston Post Rd,Weston,MA,02493,485000,3,2.0,Weston,1136,10890,1861,1192,427,,Sold,,,http://www.redfin.com/MA/Weston/277-Boston-Post-Rd-02493/home/8784115,MLS PIN,71716810,N,Y,42.367859,-71.288576
PAST SALE,,Single Family Residential,1 Terrace Rd,Weston,MA,02493,170000,5,3.5,,4359,291304,1991,,39,,,,,http://www.redfin.com/MA/Weston/1-Terrace-Rd-02493/home/8776355,,,N,Y,42.3968869,-71.2977024
PAST SALE,September-30-2009,Single Family Residential,16 Hancock Rd,Weston,MA,02493,2195000,4,5.0,Weston,5542,75682,1972,3018,396,,Sold,,,http://www.redfin.com/MA/Weston/16-Hancock-Rd-02493/home/8776927,MLS PIN,70900155,N,Y,42.3966386,-71.2840932
PAST SALE,June-1-2009,Single Family Residential,38 Willard,Weston,MA,02493,761000,4,3.5,Weston,2581,30492,1948,3139,295,,Sold,,,http://www.redfin.com/MA/Weston/38-Willard-Rd-02493/home/8777782,MLS PIN,70871962,N,Y,42.3916834,-71.3004577
PAST SALE,,Single Family Residential,130 Concord Rd,Weston,MA,02493,835000,3,2.5,,2172,57776,1962,,384,,,,,http://www.redfin.com/MA/Weston/130-Concord-Rd-02493/home/8781219,,,N,Y,42.377337,-71.312462
PAST SALE,,Single Family Residential,99 North Ave,Weston,MA,02493,450000,3,2.5,,1858,14375,1783,,242,,,,,http://www.redfin.com/MA/Weston/99-North-Ave-02493/home/8782069,,,N,Y,42.38076,-71.281778
PAST SALE,January-19-2016,Single Family Residential,272 Conant Rd,Weston,MA,02493,1185300,4,4.0,Weston,3752,30620,1950,716,316,,Sold,,,http://www.redfin.com/MA/Weston/272-Conant-Rd-02493/home/8779536,MLS PIN,71922413,N,Y,42.3878656,-71.2970154
PAST SALE,July-11-2013,Single Family Residential,193 Merriam St,Weston,MA,02493,1250000,4,3.5,Weston,3976,20037,2006,1638,314,,Sold,,,http://www.redfin.com/MA/Weston/193-Merriam-St-02493/home/11438906,MLS PIN,71504784,N,Y,42.3906905,-71.305277
PAST SALE,July-14-2010,Single Family Residential,11 Greenridge Rd,Weston,MA,02493,932700,4,2.5,Weston,3220,30056,1974,2731,290,,Sold,,,http://www.redfin.com/MA/Weston/11-Greenridge-Rd-02493/home/11685371,MLS PIN,71076219,N,Y,42.3960054,-71.2966722
PAST SALE,May-31-2011,Single Family Residential,42 Coburn Rd,Weston,MA,02493,1750000,4,6.0,Weston,5350,40000,2010,2410,327,,Sold,,,http://www.redfin.com/MA/Weston/42-Coburn-Rd-02493/home/11803835,MLS PIN,71207126,N,Y,42.3744623,-71.2872395
PAST SALE,September-29-2016,Single Family Residential,12 Woodland Rd,Weston,MA,02493,1225000,4,3.0,Weston,3563,40075,1931,462,344,,Sold,,,http://www.redfin.com/MA/Weston/12-Woodland-Rd-02493/home/8780073,MLS PIN,71990670,N,Y,42.3833119,-71.300109
PAST SALE,July-11-2008,Single Family Residential,48 Sunset Rd,Weston,MA,02493,1595000,4,3.0,Weston,3600,34000,1938,3464,443,,Sold,,,http://www.redfin.com/MA/Weston/48-Sunset-Rd-02493/home/8781621,MLS PIN,70717875,N,Y,42.3814984,-71.3043213
PAST SALE,,Single Family Residential,20 Gowell Ln,Weston,MA,02493,250000,4,2.5,,2153,33800,1876,,116,,,,,http://www.redfin.com/MA/Weston/20-Gowell-Ln-02493/home/8782659,,,N,Y,42.3717605,-71.2978918
PAST SALE,October-22-2010,Single Family Residential,46 Hilltop Rd,Weston,MA,02493,875000,5,3.0,Pigeon Hill,2715,39640,1919,2631,322,,Sold,,,http://www.redfin.com/MA/Weston/46-Hilltop-Rd-02493/home/8782696,MLS PIN,71036497,N,Y,42.3740197,-71.296507
PAST SALE,December-18-2015,Single Family Residential,56 Chestnut St,Weston,MA,02493,2600000,5,6.0,Weston,6695,100978,2007,748,388,,Sold,,,http://www.redfin.com/MA/Weston/56-Chestnut-St-02493/home/8785749,MLS PIN,71675424,N,Y,42.3553905,-71.3098975
PAST SALE,,Single Family Residential,192 Meadowbrook Rd,Weston,MA,02493,1200000,6,6.5,,7380,69583,1922,,163,,,,,http://www.redfin.com/MA/Weston/192-Meadowbrook-Rd-02493/home/8785935,,,N,Y,42.3572979,-71.2819535
PAST SALE,May-2-2008,Single Family Residential,70 Possum Rd,Weston,MA,02493,2737500,4,3.5,Weston,3814,90169,1972,3534,718,,Sold,,,http://www.redfin.com/MA/Weston/70-Possum-Rd-02493/home/8786780,MLS PIN,70638782,N,Y,42.3532464,-71.2830784
PAST SALE,October-1-2007,Condo/Co-op,25 Jericho Rd #25,Weston,MA,02493,400000,2,2.0,Weston,1313,,1980,3748,305,474,Sold,,,http://www.redfin.com/MA/Weston/25-Jericho-Rd-02493/unit-25/home/77493517,MLS PIN,70548453,N,Y,42.3705366,-71.3098822
PAST SALE,,Single Family Residential,115 Chestnut St,Weston,MA,02493,7300000,5,8.0,,7706,150169,2009,,947,,,,,http://www.redfin.com/MA/Weston/115-Chestnut-St-02493/home/8785470,,,N,Y,42.3589601,-71.3118848
PAST SALE,July-20-2007,Single Family Residential,41 Aberdeen Rd,Weston,MA,02493,1065000,5,3.0,Merriam St. to Aberdeen Rd.,2768,41382,1937,3821,385,,Sold,,,http://www.redfin.com/MA/Weston/41-Aberdeen-Rd-02493/home/8779985,MLS PIN,70531057,N,Y,42.3832293,-71.3045368
PAST SALE,,Condo/Co-op,75 Jericho Rd,Weston,MA,02493,325500,2,2.0,,1359,,1980,,240,,,,,http://www.redfin.com/MA/Weston/75-Jericho-Rd-02493/home/8794485,,,N,Y,42.3687311,-71.3105124
PAST SALE,,Condo/Co-op,115 Jericho Rd,Weston,MA,02493,520000,2,2.0,,1359,,1980,,383,,,,,http://www.redfin.com/MA/Weston/115-Jericho-Rd-02493/home/8794709,,,N,Y,42.3695985,-71.3086449
PAST SALE,,Townhouse,111 Jericho Rd,Weston,MA,02493,408500,2,1.5,,1360,,1980,,300,,,,,http://www.redfin.com/MA/Weston/111-Jericho-Rd-02493/home/8794650,,,N,Y,42.3695875,-71.3086687
PAST SALE,,Condo/Co-op,39 Jericho Rd,Weston,MA,02493,305000,1,1.0,,950,,1980,,321,,,,,http://www.redfin.com/MA/Weston/39-Jericho-Rd-02493/home/8794820,,,N,Y,42.3702454,-71.3108239
PAST SALE,,Condo/Co-op,26 Jericho Rd,Weston,MA,02493,450000,2,1.5,,1360,,1980,,331,,,,,http://www.redfin.com/MA/Weston/26-Jericho-Rd-02493/home/8794805,,,N,Y,42.3703616,-71.3090795
