SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,January-22-2015,Single Family Residential,97 Sunset Rd,Arlington,MA,02474,520000,3,2.0,Arlington,1519,4008,1933,1079,342,,Sold,,,http://www.redfin.com/MA/Arlington/97-Sunset-Rd-02474/home/8428760,MLS PIN,71757770,N,Y,42.4287643,-71.1762648
PAST SALE,November-3-2015,Single Family Residential,135 Woodside Ln,Arlington,MA,02474,781000,4,2.0,Arlington,2352,10500,1965,794,332,,Sold,,,http://www.redfin.com/MA/Arlington/135-Woodside-Ln-02474/home/8432755,MLS PIN,71902134,N,Y,42.4264654,-71.1618398
PAST SALE,January-8-2016,Single Family Residential,48 Eliot Rd,Arlington,MA,02474,700000,2,1.5,Kelwyn Manor,2116,6650,1939,728,331,,Sold,,,http://www.redfin.com/MA/Arlington/48-Eliot-Rd-02474/home/8405519,MLS PIN,71922598,N,Y,42.4043867,-71.151854
PAST SALE,June-22-2017,Single Family Residential,55 Bay State Rd,Arlington,MA,02474,1080000,4,3.0,Kelwyn Manor,2553,6114,1941,197,423,6,Sold,,,http://www.redfin.com/MA/Arlington/55-Bay-State-Rd-02474/home/11535988,MLS PIN,72147420,N,Y,42.4051253,-71.1548816
PAST SALE,October-2-2017,Townhouse,18 Mott St #18,Arlington,MA,02474,975000,3,2.5,Arlington,2846,6030,2014,95,343,150,Sold,,,http://www.redfin.com/MA/Arlington/18-Mott-St-02474/unit-18/home/58859136,MLS PIN,72211926,N,Y,42.4023266,-71.149819
PAST SALE,May-10-2017,Condo/Co-op,142 Lake St #2,Arlington,MA,02474,720000,3,2.0,Arlington,1843,5450,1939,240,391,180,Sold,,,http://www.redfin.com/MA/Arlington/142-Lake-St-02474/unit-2/home/21618046,MLS PIN,72134038,N,Y,42.4032835,-71.151372
PAST SALE,July-11-2016,Single Family Residential,1 Roanoke Rd,Arlington,MA,02474,855000,4,2.5,Kelwyn Manor,2481,5854,1939,543,345,,Sold,,,http://www.redfin.com/MA/Arlington/1-Roanoke-Rd-02474/home/8405798,MLS PIN,71994874,N,Y,42.4042286,-71.1550807
PAST SALE,November-15-2017,Condo/Co-op,72 Marathon St #72,Arlington,MA,02474,620000,2,2.0,Arlington,1044,,1915,51,594,150,Sold,,,http://www.redfin.com/MA/Arlington/72-Marathon-St-02474/unit-72/home/77510440,MLS PIN,72234863,N,Y,42.4075915,-71.1378829
PAST SALE,April-22-2016,Single Family Residential,19 Lansdowne Rd,Arlington,MA,02474,491000,2,1.5,Arlington,1435,5382,1945,623,342,,Sold,,,http://www.redfin.com/MA/Arlington/19-Lansdowne-Rd-02474/home/8431572,MLS PIN,71948405,N,Y,42.4251253,-71.164123
PAST SALE,October-30-2017,Single Family Residential,61 Henderson St,Arlington,MA,02474,780000,3,1.5,East Arlington,1200,4349,1900,67,650,,Sold,,,http://www.redfin.com/MA/Arlington/61-Henderson-St-02474/home/8407731,MLS PIN,72223648,N,Y,42.4037672,-71.1355058
PAST SALE,,Condo/Co-op,47 Magnolia St,Arlington,MA,02474,500000,2,1.0,,1376,,1914,,363,,,,,http://www.redfin.com/MA/Arlington/47-Magnolia-St-02474/home/8468958,,,N,Y,42.4019572,-71.1413478
PAST SALE,December-31-2015,Condo/Co-op,21 Dartmouth St #21,Arlington,MA,02474,429900,3,1.0,Arlington,1141,,1923,736,377,150,Sold,,,http://www.redfin.com/MA/Arlington/21-Dartmouth-St-02474/unit-21/home/77497533,MLS PIN,71927789,N,Y,42.4139544,-71.1410374
PAST SALE,May-9-2017,Multi-Family (2-4 Unit),23-23A Pine St,Arlington,MA,02474,856500,5,3.0,Arlington,2544,6365,1926,241,337,,Sold,,,http://www.redfin.com/MA/Arlington/23-Pine-St-02474/unit-A/home/23459334,MLS PIN,72128475,N,Y,42.4242125,-71.165386
PAST SALE,January-7-2016,Condo/Co-op,90 Everett St #1,Arlington,MA,02474,441000,2,1.0,East Arlington,1025,,1915,729,430,176,Sold,,,http://www.redfin.com/MA/Arlington/90-Everett-St-02474/unit-1/home/8467987,MLS PIN,71930390,N,Y,42.4098732,-71.1416936
PAST SALE,August-5-2016,Condo/Co-op,45 Magnolia St #45,Arlington,MA,02474,685500,3,2.0,Arlington,1651,,1914,518,415,192,Sold,,,http://www.redfin.com/MA/Arlington/45-Magnolia-St-02474/unit-45/home/77508637,MLS PIN,72016311,N,Y,42.4020026,-71.1412678
PAST SALE,September-22-2016,Townhouse,15 Walnut Ct #15,Arlington,MA,02476,540000,2,2.5,Arlington,1417,,1987,470,381,65,Sold,,,http://www.redfin.com/MA/Arlington/15-Walnut-Ct-02476/unit-15/home/77522061,MLS PIN,72044236,N,Y,42.418385,-71.1691666
PAST SALE,November-17-2017,Condo/Co-op,45 Fairmont St #45,Arlington,MA,02474,614900,3,2.0,East Arlington,1383,,1923,49,445,135,Sold,,,http://www.redfin.com/MA/Arlington/45-Fairmont-St-02474/unit-45/home/77512365,MLS PIN,72237890,N,Y,42.4010146,-71.1400764
PAST SALE,August-5-2016,Condo/Co-op,47 Magnolia St #47,Arlington,MA,02474,500000,2,1.0,Arlington,943,,1914,518,530,128,Sold,,,http://www.redfin.com/MA/Arlington/47-Magnolia-St-02474/unit-47/home/106083365,MLS PIN,72016315,N,Y,42.4019572,-71.1413478
PAST SALE,July-31-2015,Single Family Residential,39 Sunnyside Ave,Arlington,MA,02474,440000,2,1.0,Arlington,932,2427,1947,889,472,,Sold,,,http://www.redfin.com/MA/Arlington/39-Sunnyside-Ave-02474/home/8410904,MLS PIN,71845285,N,Y,42.4087688,-71.1332532
PAST SALE,January-15-2015,Single Family Residential,251 Forest St,Arlington,MA,02474,550000,3,1.5,Arlington,1593,7165,1955,1086,345,,Sold,,,http://www.redfin.com/MA/Arlington/251-Forest-St-02474/home/8440202,MLS PIN,71768507,N,Y,42.4326916,-71.1755837
PAST SALE,July-6-2017,Townhouse,70 EGERTON Rd #70,Arlington,MA,02474,940000,3,2.5,East Arlington,2527,5486,2014,183,372,175,Sold,,,http://www.redfin.com/MA/Arlington/70-Egerton-Rd-02474/unit-70/home/56957872,MLS PIN,72173960,N,Y,42.4032537,-71.1438337
PAST SALE,September-2-2016,Townhouse,40 Brattle St #1,Arlington,MA,02476,679000,3,2.5,Arlington,1945,,2007,490,349,375,Sold,,,http://www.redfin.com/MA/Arlington/40-Brattle-St-02476/unit-1/home/21618089,MLS PIN,72041586,N,Y,42.421961,-71.169112
PAST SALE,June-9-2017,Condo/Co-op,142 Lake St #1,Arlington,MA,02474,469000,2,1.0,Arlington,962,5450,1939,210,488,120,Sold,,,http://www.redfin.com/MA/Arlington/142-Lake-St-02474/unit-1/home/77509707,MLS PIN,72137347,N,Y,42.4032835,-71.151372
PAST SALE,June-7-2016,Single Family Residential,5 Roanoke Rd,Arlington,MA,02474,771000,2,1.5,Kelwyn Manor,1738,6214,1940,577,444,,Sold,,,http://www.redfin.com/MA/Arlington/5-Roanoke-Rd-02474/home/8405718,MLS PIN,71983810,N,Y,42.4042653,-71.1553858
PAST SALE,September-23-2015,Multi-Family (2-4 Unit),40 Henderson St,Arlington,MA,02474,632500,3,2.0,Arlington,1728,4469,1880,835,366,,Sold,,,http://www.redfin.com/MA/Arlington/40-Henderson-St-02474/home/8407292,MLS PIN,71868685,N,Y,42.4033947,-71.1364624
PAST SALE,December-12-2016,Single Family Residential,32 Chatham St,Arlington,MA,02474,635000,3,2.0,Arlington,1344,5040,1950,389,472,,Sold,,,http://www.redfin.com/MA/Arlington/32-Chatham-St-02474/home/8433789,MLS PIN,72086260,N,Y,42.4283618,-71.1686038
PAST SALE,April-29-2015,Townhouse,121A Madison Ave #1,Arlington,MA,02474,380000,2,2.0,Arlington,1298,,1965,982,293,,Sold,,,http://www.redfin.com/MA/Arlington/121-Madison-Ave-02474/unit-1/home/8438123,MLS PIN,71810190,N,Y,42.431502,-71.1840851
PAST SALE,November-18-2016,Single Family Residential,39 Avola St,Arlington,MA,02476,855000,3,2.5,Arlington,2276,8000,1961,413,376,,Sold,,,http://www.redfin.com/MA/Arlington/39-Avola-St-02476/home/8463839,MLS PIN,72063932,N,Y,42.4203511,-71.1949543
PAST SALE,June-30-2015,Single Family Residential,14 Virginia Rd,Arlington,MA,02476,1125000,4,3.5,Arlington Heights,2806,6465,2005,920,401,,Sold,,,http://www.redfin.com/MA/Arlington/14-Virginia-Rd-02476/home/11774826,MLS PIN,71836453,N,Y,42.4180094,-71.1916094
PAST SALE,November-1-2016,Single Family Residential,355 Appleton St,Arlington,MA,02476,570000,3,1.5,Arlington Heights,1444,6407,1939,430,395,,Sold,,,http://www.redfin.com/MA/Arlington/355-Appleton-St-02476/home/8462429,MLS PIN,72068185,N,Y,42.4192858,-71.1924648
PAST SALE,May-26-2016,Single Family Residential,195 Overlook Rd,Arlington,MA,02474,549000,3,2.0,Arlington,1496,6974,1953,589,367,,Sold,,,http://www.redfin.com/MA/Arlington/195-Overlook-Rd-02474/home/8436905,MLS PIN,71984753,N,Y,42.4315158,-71.1669669
PAST SALE,September-21-2015,Single Family Residential,741 Summer St,Arlington,MA,02474,550000,4,1.0,Arlington,1314,4859,1949,837,419,,Sold,,,http://www.redfin.com/MA/Arlington/741-Summer-St-02474/home/8438039,MLS PIN,71881525,N,Y,42.43322,-71.184302
PAST SALE,November-16-2015,Single Family Residential,71 Park Avenue Ext,Arlington,MA,02474,499000,3,2.0,Arlington Heights,1452,4281,1928,781,344,,Sold,,,http://www.redfin.com/MA/Arlington/71-Park-Avenue-Ext-02474/home/8429531,MLS PIN,71908726,N,Y,42.4282492,-71.1791733
PAST SALE,August-19-2016,Single Family Residential,43 Foxmeadow Ln,Arlington,MA,02474,707500,4,2.0,Arlington,1572,9040,1954,504,450,,Sold,,,http://www.redfin.com/MA/Arlington/43-Foxmeadow-Ln-02474/home/8435766,MLS PIN,72024260,N,Y,42.4326149,-71.1677007
PAST SALE,November-30-2015,Condo/Co-op,11 Howard St #2,Arlington,MA,02476,492500,3,1.5,Arlington,1281,,1923,767,384,225,Sold,,,http://www.redfin.com/MA/Arlington/11-Howard-St-02476/unit-2/home/14370668,MLS PIN,71909701,N,Y,42.4205845,-71.1731267
PAST SALE,December-15-2016,Single Family Residential,28 Draper Ave,Arlington,MA,02474,875000,4,2.5,Arlington,3070,5280,1890,386,285,,Sold,,,http://www.redfin.com/MA/Arlington/28-Draper-Ave-02474/home/8425246,MLS PIN,72080380,N,Y,42.4239251,-71.1509349
